2348.6	3.685
2348.7	9.734
2348.8	9.858
2348.9	15.909
2349	18.564
2349.1	18.568
2349.2	24.359
2349.3	24.457
2349.4	28.287
2349.5	28.081
2349.6	27.791
2349.7	23.799
2349.8	23.586
2349.9	19.071
2350	17.087
2350.1	17.059
2350.2	14.834
2350.3	14.846
2350.4	15.255
2350.5	15.824
2350.6	15.884
2350.7	15.363
2350.8	15.389
2350.9	12.347
2351	10.818
2351.1	10.844
2351.2	8.993
2351.3	8.997
2351.4	8.743
2351.5	9.171
2351.6	9.151
2351.7	11.373
2351.8	11.37
2351.9	15.38
2352	17.4
2352.1	17.422
2352.2	18.699
2352.3	18.686
2352.4	15.865
2352.5	13.988
2352.6	13.938
2352.7	9.418
2352.8	9.357
2352.9	4.67
2353	2.983
