гЮ╨ё╥ж╡Ц1212	x	y	╨Я╤х	╬╝╨е
A-K35	16339208.5	4215306.7	2.5	с╒╤╚117
A-K35	16339539.9	4215517.4	2.3	с╒йт8-1
A-K36	16339066.8	4215802.9	7.54	с╒╤╚107
A-K36	16338664.7	4215885	12.78	с╒╤╚113
A-K36	16341465.4	4213454.4	5.56	с╒╤╚114
A-K36	16340029.6	4214955.6	11.04	с╒╤╚116
A-K36	16339778.4	4215283.9	4.58	с╒йт15-1
A-K36	16340030.5	4215206.9	4.12	с╒йт2-1
A-K36	16339539.9	4215517.4	2.3	с╒йт8-1
A-K37	16339066.8	4215802.9	3.88	с╒╤╚107
A-K37	16338473.1	4216801.5	3.9	с╒╤╚108
A-K37	16338664.7	4215885	6.4	с╒╤╚113
A-K37	16340029.6	4214955.6	6.46	с╒╤╚116
A-K37	16339557.9	4215800.4	12.7	с╒йт13-1
A-K37	16339778.4	4215283.9	11.1	с╒йт15-1
A-K37	16339539.9	4215517.4	9.5	с╒йт8-1
A-K4	16339315.6	4216264.7	4.26	с╒╤╚102
A-K4	16339066.8	4215802.9	11.5	с╒╤╚107
A-K4	16338664.7	4215885	33.36	с╒╤╚113
A-K4	16339557.9	4215800.4	1.5	с╒йт13-1
A-K4	16339778.4	4215283.9	14.5	с╒йт15-1
B-K210	16339925.3	4215416.1	9.3	и╟40
B-K210	16339152.5	4216069.9	5.6	с╒11-2
B-K210	16339066.8	4215802.9	21.92	с╒╤╚107
B-K210	16340029.6	4214955.6	25.02	с╒╤╚116
B-K210	16339681.1	4215662.9	4.3	с╒йт10-1
B-K210	16339641.8	4215407.8	25.5	с╒йт12-1
B-K210	16339778.4	4215283.9	22.74	с╒йт15-1
B-K210	16340030.5	4215206.9	3.94	с╒йт2-1
B-K210	16339539.9	4215517.4	23.68	с╒йт8-1
B-K211	16339925.3	4215416.1	9.44	и╟40
B-K211	16339152.5	4216069.9	9.6	с╒11-2
B-K211	16339066.8	4215802.9	18.78	с╒╤╚107
B-K211	16340029.6	4214955.6	18	с╒╤╚116
B-K211	16339681.1	4215662.9	9.64	с╒йт10-1
B-K211	16339803	4215534.3	10.92	с╒йт11-1
B-K211	16339641.8	4215407.8	13.58	с╒йт12-1
B-K211	16339557.9	4215800.4	4.56	с╒йт13-1
B-K211	16339778.4	4215283.9	15.88	с╒йт15-1
B-K211	16339539.9	4215517.4	13.38	с╒йт8-1
B-K212	16339925.3	4215416.1	15.2	и╟40
B-K212	16339152.5	4216069.9	5.18	с╒11-2
B-K212	16339066.8	4215802.9	23.58	с╒╤╚107
B-K212	16340029.6	4214955.6	26.86	с╒╤╚116
B-K212	16339681.1	4215662.9	19.6	с╒йт10-1
B-K212	16340734	4214085.6	2	с╒йт1-1
B-K212	16339803	4215534.3	21.18	с╒йт11-1
B-K212	16339641.8	4215407.8	20.6	с╒йт12-1
B-K212	16339557.9	4215800.4	21.02	с╒йт13-1
B-K212	16339778.4	4215283.9	22.2	с╒йт15-1
B-K212	16340030.5	4215206.9	8.3	с╒йт2-1
B-K212	16339539.9	4215517.4	14.08	с╒йт8-1
B-K27	16339066.8	4215802.9	12.3	с╒╤╚107
B-K28	16339066.8	4215802.9	29.82	с╒╤╚107
B-K28	16339681.1	4215662.9	4.9	с╒йт10-1
B-K28	16339778.4	4215283.9	20.2	с╒йт15-1
B-K28	16339539.9	4215517.4	17.88	с╒йт8-1
