--------------------------------------------------
价格峰值分析分析周期(天):3
日期	距上次峰值交易日个数		距上次峰值自然日个数		局部高点/低点	浮动幅度%:	
1990/12/20	0	1	104.39	4.4	
1990/12/21	1	1	109.13	4.5	
1990/12/24	1	3	114.55	5.0	
1990/12/25	1	1	120.25	5.0	
1990/12/26	1	1	125.27	4.2	
1990/12/27	1	1	125.28	0.0	
1990/12/28	1	1	126.45	0.9	
1990/12/31	1	3	127.61	0.9	
1991/01/02	1	2	128.84	1.0	
1991/01/03	1	1	130.14	1.0	
1991/01/04	1	1	131.44	1.0	
1991/01/07	1	3	132.06	0.5	
1991/01/08	1	1	132.68	0.5	
1991/01/09	1	1	133.34	0.5	
1991/01/10	1	1	133.97	0.5	
1991/01/11	1	1	134.61	0.5	
1991/01/14	1	3	135.19	0.4	
1991/01/14	0	0	134.11	-0.8	
1991/01/16	2	2	134.14	0.0	
1991/01/17	1	1	133.65	-0.4	
1991/01/21	2	4	133.66	0.0	
1991/01/23	2	2	133.14	-0.4	
1991/01/24	1	1	132.57	-0.4	
1991/01/25	1	1	132.03	-0.4	
1991/01/28	1	3	131.46	-0.4	
1991/01/29	1	1	130.95	-0.4	
1991/01/30	1	1	130.41	-0.4	
1991/01/31	1	1	129.93	-0.4	
1991/02/01	1	1	129.45	-0.4	
1991/02/04	1	3	129.05	-0.3	
1991/02/05	1	1	128.53	-0.4	
1991/02/06	1	1	129.15	0.5	
1991/02/06	0	0	128.06	-0.8	
1991/02/07	1	1	129.79	1.4	
1991/02/08	1	1	130.39	0.5	
1991/02/12	2	4	131.56	0.9	
1991/02/13	1	1	131.93	0.3	
1991/02/14	1	1	132.53	0.5	
1991/02/19	1	5	133.14	0.5	
1991/02/20	1	1	133.67	0.4	
1991/02/21	1	1	134.28	0.5	
1991/02/22	1	1	134.87	0.4	
1991/02/26	2	4	133.9	-0.7	
1991/02/27	1	1	133.44	-0.3	
1991/02/28	1	1	132.98	-0.3	
1991/03/01	1	1	132.47	-0.4	
1991/03/04	1	3	131.98	-0.4	
1991/03/05	1	1	131.41	-0.4	
1991/03/06	1	1	130.89	-0.4	
1991/03/08	2	2	129.84	-0.8	
1991/03/11	1	3	129.3	-0.4	
1991/03/12	1	1	128.73	-0.4	
1991/03/13	1	1	126.13	-2.0	
1991/03/14	1	1	125.61	-0.4	
1991/03/15	1	1	125.08	-0.4	
1991/03/18	1	3	124.69	-0.3	
1991/03/19	1	1	124.22	-0.4	
1991/03/20	1	1	123.63	-0.5	
1991/03/21	1	1	123.12	-0.4	
1991/03/22	1	1	122.62	-0.4	
1991/03/25	1	3	122.1	-0.4	
1991/03/26	1	1	121.62	-0.4	
1991/03/27	1	1	121.12	-0.4	
1991/03/28	1	1	120.61	-0.4	
1991/03/29	1	1	120.11	-0.4	
1991/04/01	1	3	120.73	0.5	
1991/04/01	0	0	119.68	-0.9	
1991/04/02	1	1	121.29	1.3	
1991/04/03	1	1	121.71	0.3	
1991/04/04	1	1	122.2	0.4	
1991/04/05	1	1	121.03	-1.0	
1991/04/09	2	4	120.6	-0.4	
1991/04/10	1	1	120.09	-0.4	
1991/04/11	1	1	119.62	-0.4	
1991/04/12	1	1	119.15	-0.4	
1991/04/15	1	3	118.72	-0.4	
1991/04/16	1	1	118.34	-0.3	
