¾®ºÅ	ÈÕÆÚ	¾®¶Î¶¥	¾®¶Îµ×
L10-1932	199304	1190	1192
L10-1932	199304	1192.8	1193.4
L10-1936	198408	1116.2	1117.8
L10-1936	198408	1118.4	1119.8
L10-1936	198408	1120.2	1121.7
L10-1936	198408	1127.6	1131
L10-1936	198408	1132.5	1136
L10-1936	198408	1141.8	1144.2
L10-1936	198408	1151.1	1151.7
L10-1936	198408	1153.8	1154.8
L10-1936	198408	1165.5	1166.1
L10-1936	198408	1175.3	1175.7
L10-1936	198408	1190	1194.4
L10-1955	198203	1098	1101.7
L10-1955	198203	1105.4	1109
L10-1955	198203	1110.5	1112
L10-1955	198203	1109	1109.9
L10-1955	198203	1112	1116.6
L10-1966	198409	1124.8	1125.4
L10-1966	198409	1133.2	1137.6
L10-1966	198409	1143	1147.2
L10-1966	198409	1148.4	1149.3
L10-1966	198409	1154.1	1154.5
L10-1966	198409	1165.5	1165.9
L10-1966	198409	1167	1168.8
L10-1966	198409	1175.4	1177.4
L10-1966	198409	1189.8	1190.8
L10-1966	198409	1196.4	1197.4
L10-20	197404	970.3	970.9
L10-20	197404	974.7	976.6
L10-20	197404	980.3	982.6
L10-20	197404	983.5	984.9
L10-20	197404	985.6	986.6
L10-20	197404	1009.5	1010.9
L10-20	197404	1012.2	1013.4
L10-20	197404	1018.3	1019.8
L10-20	197404	1022.6	1024.6
L10-20	197404	1029.4	1030.2
L10-20	197404	1030.6	1032.1
L10-20	197404	1036.1	1036.7
L10-20	197404	1040.3	1043.4
L10-20	197404	1058.9	1059.5
L10-20	197404	1061.6	1065.8
L10-20	197404	1067.6	1068.7
L10-20	197404	1069.6	1074.2
L10-20	197404	1077	1079.8
L10-20	197404	1081.7	1083.8
L10-20	197404	1085.5	1085.9
L10-20	197404	1086.4	1088.4
L10-20	197404	1090	1097.5
L10-20	197404	1099	1105.4
L10-20	197404	1108.7	1112.4
L10-20	197404	1116.2	1116.7
L10-20	197404	1117.3	1118
L10-20	197404	1120.7	1123.2
L10-20	197404	1124.3	1125
L10-20	197404	1126.3	1126.9
L10-20	197404	1129.6	1130
L10-20	197404	1130.5	1137.8
L10-20	197404	1139	1139.6
L10-20	197404	1140.1	1140.7
L10-20	197404	1141.2	1142.6
L10-20	197404	1158.4	1159.5
L10-20	197404	1160.7	1161.9
L10-20	197404	1163.6	1164.1
L10-20	197404	1165.1	1168.4
L10-20	197404	1175.2	1175.7
L10-20	197404	1176.8	1177.3
L10-20	197404	1185.9	1186.5
L10-20	197404	1188.2	1188.6
L10-20	197404	1189.4	1190.2
L10-20	197404	1191.5	1191.9
L10-20	197404	1198.2	1198.8
L10-2001	199302	1156.6	1158.4
L10-2001	199302	1173.5	1174.3
L10-2001	199302	1174	1174.2
L10-2001	199302	1174.6	1176
L10-2001	199302	1175.3	1175.5
L10-2001	199302	1175.4	1175.6
L10-2001	199302	1176.9	1177.1
L10-2001	199302	1180.2	1180.5
L10-2001	199302	1184.4	1185.4
L10-2001	199302	1185.1	1185.3
L10-2001	199302	1185.8	1186.7
L10-2001	199302	1186.4	1186.6
L10-2001	199302	1187.5	1187.7
L10-2001	199302	1189.7	1190.5
L10-2001	199302	1190.1	1190.3
L10-2001	199302	1192.8	1194.6
L10-2001	199302	1193.5	1193.7
L10-2001	199302	1194	1194.2
L10-2001	199302	1194.1	1194.3
L10-2001	199302	1196.2	1198
L10-2001	199302	1196.5	1196.7
L10-2001	199302	1197.1	1197.3
L10-2001	199302	1197.2	1197.4
L10-2002	199305	981.3	981.7
L10-2002	199305	983.2	983.8
L10-2002	199305	987.2	989.6
L10-2002	199305	991.2	992.1
L10-2002	199305	993.2	994.4
L10-2002	199305	994.8	995.6
L10-2002	199305	996.4	999.6
L10-2002	199305	1155.2	1155.8
L10-2002	199305	1156.6	1157.1
L10-2002	199305	1166.6	1167.2
L10-2002	199305	1171.4	1172.6
L10-2002	199305	1174.6	1183.6
L10-2002	199812	1030.1	1031.1
L10-2002	199812	1031.6	1032.6
L10-2002	199812	1186.9	1190.2
L10-2002	199812	1190.8	1195.2
L10-203	197404	965.7	966.3
L10-203	197404	977	977.8
L10-203	197404	982	982.6
L10-203	197404	983.3	983.7
L10-203	197404	997.5	997.9
L10-203	197404	998.4	1000
L10-203	197404	1006.1	1007.8
L10-203	197404	1009.2	1009.7
L10-203	197404	1012.9	1013.5
L10-203	197404	1013.9	1014.5
L10-203	197404	1015.9	1017.3
L10-203	197404	1017.7	1019.8
L10-203	197404	1025	1025.9
L10-203	197404	1026.4	1026.8
L10-203	197404	1027.9	1030.4
L10-203	197404	1038.5	1042
L10-203	197404	1058	1058.8
L10-203	197404	1059.8	1064
L10-203	197404	1069.4	1071.4
L10-203	197404	1076.6	1078.5
L10-203	197404	1111	1111.7
