22498585.9	5092277.366	3
22498511.6	5092276	3
22498422.14	5092208.488	3
22498352.96	5092108.415	3
22498297.23	5092107.39	3
22498226.34	5092040.22	3
22498153.75	5092005.951	3
22498084.57	5091905.878	3
22498011.97	5091871.61	3
22497939.38	5091837.342	3
22497909.05	5091705.049	3
22497838.17	5091637.878	3
22497787.56	5091538.146	3
22497735.25	5091471.317	3
22497645.79	5091403.805	3
22497554.61	5091369.195	3
22497485.43	5091269.122	3
22497414.55	5091201.951	3
22497341.95	5091167.683	3
22497289.64	5091100.854	3
22497218.75	5091033.683	3
22497147.86	5090966.512	3
22497075.27	5090932.244	3
22497004.38	5090865.073	3
22496953.78	5090765.342	3
22496882.89	5090698.171	3
22496869.43	5090599.122	3
22496798.55	5090531.951	3
22496709.08	5090464.439	3
22496639.9	5090364.366	3
22496567.31	5090330.098	3
22496496.42	5090262.927	3
22496425.53	5090195.756	3
22496352.94	5090161.488	3
22496263.47	5090093.976	3
22496194.29	5089993.902	3
22496123.4	5089926.732	3
22496033.94	5089859.22	3
22495941.06	5089857.512	3
22495907.33	5089791.024	3
22495834.73	5089756.756	3
22495780.71	5089722.829	3
22495726.69	5089688.902	3
22495655.8	5089621.732	3
22495603.49	5089554.902	3
22495552.89	5089455.171	3
22495439.73	5089486.024	3
