jh	xcm	X	Y	topDepth	bottomDepth	shaHou	yxhd	Por	Per	So
Ng-4-6	LFLN17-1	20563828.5	4140430.1	-1022.6	-1025.9	3.3	6.6	0.3	300.0	0.66
Ng-4-6	LFLN17-5	20563765.1	4140757.8	-1012.0	-1021.8	9.8	35.5	0.3	300.0	0.66
Ng-4-6	LFLN17-13	20563798.7	4141103.6	-1014.0	-1028.8	14.8	61.1	0.3	300.0	0.66
Ng-4-6	LFLN17-23	20563834.2	4141432.4	-1015.55	-1033.05	17.5	50.8	0.3	300.0	0.66
Ng-4-6	LFLN17-25	20564192.6	4141453.1	-1016.3	-1024.2	7.9	15.2	0.3	300.0	0.66
Ng-4-6	LFLN17-37	20564436.6	4141701.2	-1024.6	-1025.9	1.3	1.3	0.3	300.0	0.66
Ng-4-6	LFLN17-33	20563458.7	4141771.0	-1013.5	-1020.9	7.4	20.4	0.3	300.0	0.66
Ng-4-6	LFLN17-19	20563007.8	4141407.7	-1025.7	-1028.4	2.7	2.7	0.3	300.0	0.66
Ng-4-6	LFLN17-3	20563425.5	4140776.2	-1014.8	-1025.6	10.8	39.0	0.3	300.0	0.66
Ng-4-6	LFLN17-15	20564042.1	4141038.2	-1010.4	-1018.7	8.3	14.2	0.3	300.0	0.66
Ng-4-6	LFLN17-17	20564336.4	4140927.4	-1022.1	-1006.1	-16.0	0	-999	-999	-999
Ng-4-6	LFLN17-21	20563371.9	4141400.6	-1012.9	-1023.1	10.2	46.9	0.3	300.0	0.66
Ng-4-6	LFLN17-45	20564207.8	4142125.9	-1017.6	-1013.2	-4.4	0	-999	-999	-999
Ng-4-6	LFLN17-9	20562917.0	4141045.9	-1013.1	-1022.7	9.6	26.9	0.3	300.0	0.66
