井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）
y5-4-B4	B-K28	971	1036	65	31.3	23.5
y7-6-B2	B-K26	842	905	63	21.6	19.8
y7-6-B2	B-K27	905	954	49	25	21.4
y7-6-B2	B-K28	954	1015	61	29.3	28.2
y1-2-B3	B-K28	931	996	65	42.4	30.65
y7-2-B5	B-K28	1026	1048	22	13.6	5.3
y1-6-B2	B-K26	827	876	49	19.2	19.2
y1-6-B2	B-K27	876	921	45	17.7	17.7
y1-6-B2	B-K28	921	994	73	30	22.45
y5-4-B3	B-K27	923	973	50	18.1	13
y5-4-B3	B-K28	973	1036	63	41.3	26.3
y31-4-A6	B-K26	914	961	47	19	16.65
y31-4-A6	B-K27	961	1009	48	24.3	22.95
y31-4-A6	B-K28	1009	1069	60	19.4	16.85
y3-4-B2	B-K26	856	902	46	18.7	9.349999
y3-4-B2	B-K27	902	948	46	24.9	24.9
y3-4-B2	B-K28	948	1007	59	30.7	30.7
y7-6-B1	B-K26	843	903	60	24.4	22.35
y7-6-B1	B-K27	903	956	53	28.4	27
y7-6-B1	B-K28	956	1016	60	34.1	29.7
y1-2-B2	B-K28	936	997	61	38.6	31.9
y1-6-B1	B-K26	826	876	50	18.4	18.4
y1-6-B1	B-K27	876	923	47	20.3	20.3
y1-6-B1	B-K28	923	955	32	7.5	6.2
y5-6-A5	B-K26	843	903	60	19.2	16.7
y5-6-A5	B-K27	903	952	49	19.7	16.9
y5-6-A5	B-K28	952	1014	62	27	27
y11-4-A6	B-K26	896	965	69	36.1	7.75
y11-4-A6	B-K27	965	1013	48	28	19
y11-4-A6	B-K28	1013	1076	63	33	20.75
y7-4-A6	B-K27	938	992	54	13.9	5.55
y7-4-A6	B-K28	992	1049	57	27.6	22.9
y3-6-A5	B-K26	826	880	54	15.9	12.35
y3-6-A5	B-K27	880	926	46	14.3	11.25
y3-6-A5	B-K28	926	996	70	28.5	24.75
y5-4-B2	B-K27	922	973	51	16.8	12.05
y5-4-B2	B-K28	973	1036	63	30.6	26.05
y5-6-A3	B-K26	843	905	62	17	16.6
y5-6-A3	B-K27	905	953	48	21.9	19.35
y5-6-A3	B-K28	953	1015	62	32	31.1
y1-2-B1	B-K28	935	997	62	35.4	30.8
y3-4-B1	B-K26	850	901	51	17.3	12.25
y3-4-B1	B-K27	901	948	47	20.9	18.9
y3-4-B1	B-K28	948	1009	61	33.4	33.4
y3-2-B1	B-K27	906	956	50	16	9.95
y3-2-B1	B-K28	956	1015	59	34.3	34.3
y31-4-B4	B-K26	910	958	48	20.8	20.1
y31-4-B4	B-K27	958	1007	49	30.6	28.9
y31-4-B4	B-K28	1007	1066	59	24.1	20.35
y11-4-B4	B-K27	962	1011	49	23.3	20.7
y11-4-B4	B-K28	1011	1073	62	28.8	17.4
y5-6-B2	B-K26	848	909	61	20.4	17.45
y5-6-B2	B-K27	909	956	47	19.9	18
y5-6-B2	B-K28	956	1019	63	29.1	25.9
y31-6-A5	B-K26	898	951	53	23.7	21.2
y31-6-A5	B-K27	951	996	45	16.4	13.55
y31-6-A5	B-K28	996	1064	68	28.4	4.7
y7-4-B4	B-K26	939	946	7	3.2	0.3
y7-4-B4	B-K27	946	992	46	12.5	11.4
y7-4-B4	B-K28	992	1049	57	29.5	22.35
y3-4-B3	B-K26	858	904	46	18	10.6
y3-4-B3	B-K27	904	952	48	26.2	25.35
y3-4-B3	B-K28	952	1012	60	27	26.7
y1-4-A5	B-K26	855	909	54	17.5	14.95
y1-4-A5	B-K27	909	958	49	21.6	21.6
y1-4-A5	B-K28	958	1019	61	32.9	29.1
y5-4-B1	B-K26	885	924	39	27.5	25.45
y5-4-B1	B-K27	924	974	50	16.7	14.55
y5-4-B1	B-K28	974	1037	63	39.4	34.2
y9-6-A3	B-K26	932	984	52	27.5	23.55
y9-6-A3	B-K27	984	1030	46	25.7	19.55
y9-6-A3	B-K28	1030	1080	50	23.4	13.05
y5-2-B6	B-K27	949	972	23	9.5	4.75
y5-2-B6	B-K28	972	1040	68	25.2	16.2
y11-4-A5	B-K27	964	1012	48	22.8	17.85
y11-4-A5	B-K28	1012	1075	63	26.4	12.05
y31-6-B1	B-K26	896	949	53	24.8	18.7
y31-6-B1	B-K27	949	993	44	25.7	15.35
y31-6-B1	B-K28	993	1062	69	30.5	4.3
y5-6-B1	B-K26	850	910	60	18.7	14.65
y5-6-B1	B-K27	910	958	48	20.7	17.95
y5-6-B1	B-K28	958	1020	62	26.5	23.4
y1-4-B4	B-K26	856	909	53	19.5	18.25
y1-4-B4	B-K27	909	959	50	19.4	17.75
y1-4-B4	B-K28	959	1020	61	31.9	25
y7-4-B3	B-K27	946	994	48	25.5	13.35
y7-4-B3	B-K28	994	1048	54	28.3	22.15
y9-4-A5	B-K28	1000	1063	63	29.6	20.75
y11-8	B-K26	444	557	113	55.9	0
y5-2-B5	B-K28	972	1040	68	61.6	36.1
y9-6-A2	B-K26	931	982	51	23.7	19.8
y9-6-A2	B-K27	982	1030	48	22.6	16.45
y9-6-A2	B-K28	1030	1080	50	21.5	13.9
y1-4-B3	B-K26	861	914	53	18.7	15.15
y1-4-B3	B-K27	914	967	53	23.3	23.3
y1-4-B3	B-K28	967	1024	57	26.5	19.65
y7-4-B2	B-K27	947	994	47	11.3	9.15
y7-4-B2	B-K28	994	1048	54	28.3	20.45
y5-2-B3	B-K28	972	1041	69	33.2	17.3
y9-6-A1	B-K26	538	589	51	22.3	0
