井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）	砂地比	解释砂层个数	解释油层个数	加权孔隙度(%)	加权渗透率(md)	突进系数Tk	渗透率级差Jk	变异系数Vk
yshi10-1	B-K211	1158	1188	30	16.8	10.85	0.56	5	5	17.78	43.8	2.21	4.36	1.39
yshi10-1	B-K212	1188	1245	57	27.8	21.25	0.49	9	9	17.03	30.2	1.46	3.05	1
yshi11-1	B-K211	1134	1172	38	20.4	16.1	0.54	6	6	15.4	103.66	1.34	2.42	0.65
yshi11-1	B-K212	1172	1224	52	21.3	21.3	0.41	9	9	16.31	122.35	2.44	5.6	1.74
yshi12-1	B-K211	1126	1161	35	13.2	13.2	0.38	5	5	21.89	103.59	1.5	1.9	0.58
yshi12-1	B-K212	1161	1219	58	24.7	24.7	0.43	10	10	20.33	100.76	2.03	3.62	1.29
yshi13-1	B-K211	1163	1192	29	16.7	7.3	0.58	6	6	16.65	59.84	2.29	4.44	1.52
yshi13-1	B-K212	1192	1251	59	27.4	23.95	0.46	10	10	16.28	35.94	2.02	3.1	1.37
yshi15-1	B-K211	1108	1144	36	17.2	17.2	0.48	6	6	16.47	252.71	1.32	1.86	0.55
yshi15-1	B-K212	1144	1200	56	27	27	0.48	11	11	16.04	164.12	1.67	3.86	1.28
yd114	B-K211	959	1001	42	22.5	0	0.54	7	7	12.91	112.53	1.37	1.88	0.56
yd114	B-K212	1001	1062	61	15	1.6	0.25	6	6	12.04	96.03	1.18	1.93	0.48
yd116	B-K211	1017	1068	51	16.7	5.5	0.33	5	5	14.31	70.77	1.44	2.51	0.68
yd116	B-K212	1068	1134	66	28.3	9.650001	0.43	9	9	14.66	50.32	1.47	2.91	0.75
yd117	B-K211	1140	1206	66	25	25	0.38	8	8	14.15	44.51	2.37	4.97	1.64
y11-2	B-K211	1193	1233	40	15.7	7.3	0.39	6	6	18.63	137.25	1.55	3.13	0.78
y11-2	B-K212	1233	1292	59	23.9	10.55	0.41	10	10	16.85	179.13	1.69	2.87	0.94
