井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）	砂地比
y9-5-B6	B-K34	1424	1475	51	23.2	3.45	0.45
y33-4-A5	B-K33	1474	1577	103	19.6	4.5	0.19
y13-3-B6	B-K33	1394	1445	51	17	7.55	0.33
y13-3-B6	B-K34	1445	1492	47	17.1	11.9	0.36
y17-1-A6	B-K33	1502	1547	45	14.8	5.05	0.33
y17-1-A6	B-K34	1547	1595	48	8.2	4.1	0.17
y23-1-A6	B-K33	1563	1610	47	14.6	0.55	0.31
y23-1-A6	B-K34	1610	1658	48	17	2.65	0.35
y27-1	B-K33	1483	1523	40	17.5	8.650001	0.44
y27-1	B-K34	1523	1574	51	20.9	5.3	0.41
