井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）	砂地比
sha37	B-K33	1173	1213	40	16.2	14.1	0.41
sha37	B-K34	1213	1251	38	9.5	7.75	0.25
sha40	B-K33	1358	1399	41	20.2	14.4	0.49
sha40	B-K34	1399	1444	45	21.9	19.6	0.49
sha45	B-K33	1410	1460	50	6.9	0	0.14
sha45	B-K34	1460	1510	50	19.3	7.2	0.39
yd102	B-K33	1415	1467	52	21.6	16.6	0.42
yd102	B-K34	1467	1511	44	13.2	11.1	0.3
yd103	B-K33	1179	1215	36	18.5	5.3	0.51
yd103	B-K34	1215	1260	45	13.7	6.7	0.3
yd104	B-K33	1206	1258	52	15.6	5.2	0.3
yd104	B-K34	1258	1310	52	18	7.9	0.35
yshi1-1	B-K33	1176	1212	36	8.3	8.3	0.23
yshi1-1	B-K34	1212	1248	36	11.7	11.7	0.33
yshi1-2	B-K33	1178	1214	36	11.9	11.9	0.33
yshi1-2	B-K34	1214	1251	37	14.5	12.9	0.39
yshi1-3	B-K33	1179	1225	46	6.3	6.3	0.14
yshi2-1	B-K33	1341	1385	44	20.7	15.3	0.47
yshi2-1	B-K34	1385	1436	51	15.6	15.6	0.31
yshi2-2	B-K33	1342	1389	47	21.9	12.85	0.47
yshi2-2	B-K34	1389	1431	42	25.2	17.1	0.6
yshi2-3	B-K33	1341	1386	45	17.7	13.3	0.39
yshi2-3	B-K34	1386	1433	47	19.2	14.45	0.41
yshi2-4	B-K33	1344	1389	45	12	9.4	0.27
yshi2-4	B-K34	1389	1431	42	12	5.85	0.29
yshi3-1	B-K33	1146	1195	49	28.1	1.85	0.57
yshi3-1	B-K34	1195	1245	50	18.3	3.25	0.37
yshi4-1	B-K33	1182	1222	40	12.1	9.4	0.3
yshi4-1	B-K34	1222	1260	38	12.4	10.05	0.33
yshi4-2	B-K33	1184	1223	39	14.5	7.9	0.37
yshi4-2	B-K34	1223	1261	38	16.2	11.45	0.43
yshi4-3	B-K33	1185	1224	39	15.4	9.8	0.39
yshi4-3	B-K34	1224	1260	36	13.9	9.25	0.39
yshi5-1	B-K33	1151	1192	41	10.4	0.95	0.25
yshi5-1	B-K34	1192	1230	38	8.6	1.7	0.23
yshi6-1	B-K33	1141	1190	49	10.1	5.15	0.21
yshi6-1	B-K34	1190	1236	46	15	5.5	0.33
yshi7-1	B-K33	1354	1402	48	12	12	0.25
yshi7-1	B-K34	1402	1446	44	8.4	7.2	0.19
yshi8-1	B-K33	1416	1466	50	7.9	7.9	0.16
yshi8-1	B-K34	1466	1515	49	8.2	6.9	0.17
yshi9-1	B-K33	1393	1440	47	17	10.2	0.36
yshi9-1	B-K34	1440	1487	47	10.4	5.4	0.22
yshi10-1	B-K33	1402	1450	48	22.6	16.2	0.47
yshi10-1	B-K34	1450	1490	40	10.9	10.9	0.27
yshi11-1	B-K33	1385	1426	41	13	10.25	0.32
yshi11-1	B-K34	1426	1466	40	7.7	6.15	0.19
yshi12-1	B-K33	1388	1441	53	15.2	15.2	0.29
yshi12-1	B-K34	1441	1483	42	10.9	9.9	0.26
yshi13-1	B-K33	1418	1465	47	17	15.7	0.36
yshi13-1	B-K34	1465	1506	41	11.5	11.5	0.28
yshi14-1	B-K33	1373	1416	43	18.9	15.7	0.44
yshi14-1	B-K34	1416	1462	46	11.8	5.8	0.26
yshi15-1	B-K33	1371	1420	49	21.8	21.8	0.44
yshi15-1	B-K34	1420	1468	48	17.8	16.6	0.37
yd114	B-K33	1225	1266	41	11.4	0.95	0.28
yd114	B-K34	1266	1315	49	26.6	6.2	0.54
yd116	B-K33	1336	1392	56	9.7	0	0.17
yd116	B-K34	1392	1449	57	19	4.75	0.33
y11-2	B-K33	1457	1509	52	15.8	5.9	0.3
y11-2	B-K34	1509	1552	43	0	0	0
y7-1-B6	B-K33	1418	1466	48	18.3	8.05	0.38
y7-1-B6	B-K34	1466	1507	41	12.5	9	0.3
y9-1-B6	B-K33	1433	1452	19	9.1	9.1	0.48
y9-2-A6	B-K33	1440	1494	54	13.3	7.8	0.25
y9-2-A6	B-K34	1494	1542	48	17.4	16	0.36
y45-2-B6	B-K33	1207	1246	39	6.8	2.8	0.17
y45-2-B6	B-K34	1246	1282	36	7.7	0	0.21
y11-2-B4	B-K33	1455	1502	47	17.5	4.75	0.37
y11-2-B4	B-K34	1502	1539	37	11.3	9.65	0.31
y3-3-B6	B-K33	1372	1415	43	16.4	7.25	0.38
y3-3-B6	B-K34	1415	1460	45	13	9.35	0.29
y13-1-B6	B-K33	1420	1466	46	20.7	16	0.45
y13-1-B6	B-K34	1466	1529	63	17.1	12.1	0.27
y5-3-B6	B-K33	1388	1437	49	22.4	16.55	0.46
y5-3-B6	B-K34	1437	1483	46	16.4	10.9	0.36
y3-4-A6	B-K33	1394	1503	109	34.5	28.8	0.32
y3-4-A6	B-K34	1503	1548	45	18.7	13.45	0.42
y9-2-B5	B-K33	1440	1494	54	15.5	9.2	0.29
y9-2-B5	B-K34	1494	1542	48	7.8	4.85	0.16
y1-1-B5	B-K33	1356	1403	47	20	15.95	0.43
y1-1-B5	B-K34	1403	1447	44	8.2	4.85	0.19
y3-3-B5	B-K33	1372	1415	43	14.3	10.45	0.33
y3-3-B5	B-K34	1415	1460	45	18.4	15	0.41
y7-1-B5	B-K33	1416	1465	49	15.1	13.5	0.31
y7-1-B5	B-K34	1465	1504	39	12.7	9.65	0.33
y9-1-B5	B-K33	1463	1511	48	22.1	14.75	0.46
y9-1-B5	B-K34	1511	1553	42	12	9.8	0.29
y13-1-B5	B-K33	1419	1466	47	20.2	14.85	0.43
y13-1-B5	B-K34	1466	1533	67	17	11.25	0.25
y5-3-B5	B-K33	1386	1436	50	20.4	18.4	0.41
y5-3-B5	B-K34	1436	1482	46	12.4	12.4	0.27
y3-4-A5	B-K33	1394	1505	111	37.3	28.3	0.34
y3-4-A5	B-K34	1505	1548	43	10.1	9.4	0.23
y5-1-B5	B-K33	1401	1449	48	14.9	10.2	0.31
y5-1-B5	B-K34	1449	1489	40	11	7.45	0.28
y7-2-A6	B-K33	1424	1472	48	13.6	12.05	0.28
y7-2-A6	B-K34	1472	1516	44	8.5	1.3	0.19
y5-4-A5	B-K33	1384	1423	39	13.8	8.3	0.35
y3-2-B5	B-K33	1386	1438	52	22.5	19.5	0.43
y3-2-B5	B-K34	1438	1482	44	13.6	11.05	0.31
y7-2-B5	B-K33	1428	1475	47	13.4	13.4	0.29
y7-2-B5	B-K34	1475	1519	44	12.2	6.75	0.28
y9-3-B5	B-K33	1394	1443	49	24.7	12.15	0.5
y9-3-B5	B-K34	1443	1484	41	12.6	11.1	0.31
y31-4-A6	B-K33	1466	1524	58	15.1	4.6	0.26
y5-6-A5	B-K33	1468	1518	50	20.5	18.15	0.41
y5-6-A5	B-K34	1518	1576	58	19.3	8.45	0.33
y11-1-B6	B-K33	1409	1460	51	20.1	15.85	0.39
y11-1-B6	B-K34	1460	1516	56	17	12.15	0.3
y11-1-B5	B-K33	1405	1456	51	15	13.25	0.29
y11-1-B5	B-K34	1456	1514	58	20.5	17.2	0.35
y7-3-B5	B-K33	1413	1460	47	22.5	17.85	0.48
y7-3-B5	B-K34	1460	1508	48	22	15.1	0.46
y7-4-B4	B-K33	1410	1440	30	0	0	0
y1-4-A5	B-K33	1393	1473	80	31.4	26.9	0.39
y5-2-B6	B-K33	1420	1466	46	15.9	14.4	0.35
y5-2-B6	B-K34	1466	1515	49	11.2	6.05	0.23
y11-3-B6	B-K33	1418	1469	51	19.7	16.1	0.39
y11-3-B6	B-K34	1469	1512	43	11.9	9.75	0.28
y5-2-B5	B-K33	1417	1470	53	54.6	48.2	1.03
y5-2-B5	B-K34	1470	1515	45	29.6	26.3	0.66
y33-2-B5	B-K33	1344	1398	54	20.7	9.1	0.38
y33-2-B5	B-K34	1398	1456	58	21.6	10	0.37
y31-2-A6	B-K33	1350	1398	48	7.4	0	0.15
y31-2-A6	B-K34	1398	1438	40	14	0	0.35
