井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）
sha37	B-K29	787	841	54	26.4	19.85
sha37	B-K210	841	902	61	30.7	20.35
sha45	B-K29	1014	1069	55	22.4	0
sha45	B-K210	1069	1139	70	36.2	7.9
yd104	B-K29	808	860	52	20.2	0
yd104	B-K210	860	919	59	16	0
yd107	B-K29	1068	1119	51	23.6	12.95
yd107	B-K210	1119	1180	61	19.2	19.2
yshi1-1	B-K29	790	844	54	23.3	7.05
yshi1-1	B-K210	844	906	62	21.7	9.75
yshi1-2	B-K29	792	845	53	27	24.25
yshi1-2	B-K210	845	908	63	25	17.4
yshi1-3	B-K29	792	847	55	21.9	16.8
yshi1-3	B-K210	847	909	62	30.1	16.3
yshi1-4	B-K29	794	847	53	24.5	15.4
yshi1-4	B-K210	847	909	62	25.2	9.35
yshi2-1	B-K210	1008	1076	68	26.3	21.9
yshi2-2	B-K210	1009	1076	67	20.4	14.65
yshi2-3	B-K210	1009	1076	67	27	19.85
yshi2-4	B-K210	1009	1076	67	21.7	15.05
yshi2-5	B-K210	1008	1075	67	24.7	15.3
yshi4-1	B-K29	802	852	50	16.4	0.4
yshi4-1	B-K210	852	912	60	20.2	0
yshi4-2	B-K29	803	852	49	21	0
yshi4-2	B-K210	852	914	62	24.9	0
yshi4-3	B-K29	805	852	47	18.1	2.5
yshi4-3	B-K210	852	915	63	25.1	0
yshi5-1	B-K29	708	759	51	23.4	0
yshi5-1	B-K210	759	820	61	25.6	7.5
yshi6-1	B-K29	770	821	51	23.6	9.4
yshi6-1	B-K210	821	881	60	22.6	10.35
yshi8-1	B-K29	1040	1088	48	21.6	21.6
yshi8-1	B-K210	1088	1150	62	21.6	21.6
yshi10-1	B-K29	1041	1096	55	20.7	8.7
yshi10-1	B-K210	1096	1158	62	27.7	5.55
yshi11-1	B-K29	1022	1073	51	11.4	7.75
yshi11-1	B-K210	1073	1134	61	28.5	14.2
yshi12-1	B-K29	1015	1063	48	26.2	26.2
yshi12-1	B-K210	1063	1126	63	21.4	21.4
yshi15-1	B-K29	998	1045	47	22.6	22.6
yshi15-1	B-K210	1045	1108	63	33.7	28.65
yd114	B-K29	844	900	56	25.1	0
yd114	B-K210	900	959	59	25.6	0
yd116	B-K29	904	957	53	26.7	10.95
yd116	B-K210	957	1017	60	24.2	15.7
yd117	B-K29	1019	1074	55	25	20.7
yd117	B-K210	1074	1140	66	29.4	29.4
y15-2	B-K29	1149	1208	59	23.1	0
y15-2	B-K210	1208	1274	66	32.9	0
y7-1-B6	B-K210	1133	1164	31	4.9	0
y9-1-B6	B-K210	1153	1176	23	5.8	4.5
y9-2-A6	B-K29	1064	1118	54	29.1	26.6
y9-2-A6	B-K210	1118	1180	62	24.4	22.6
y11-6-A6	B-K29	1079	1129	50	25.2	3.2
y11-6-A6	B-K210	1129	1189	60	24.8	12
y13-4-A6	B-K29	1108	1154	46	26	0
y13-4-A6	B-K210	1154	1219	65	27.2	1.4
y7-6-A5	B-K29	1010	1064	54	27.3	24.25
y7-6-A5	B-K210	1064	1129	65	28.1	24.45
y45-2-B6	B-K29	815	865	50	14.4	0
y45-2-B6	B-K210	865	926	61	22.5	6.25
y1-6-A5	B-K29	998	1048	50	28.6	23.35
y1-6-A5	B-K210	1048	1143	95	36.1	34.45
y11-2-B4	B-K210	1143	1200	57	16.7	1.2
y3-4-A6	B-K29	1013	1064	51	25	21.95
y3-4-A6	B-K210	1064	1130	66	25.7	22.9
y7-1-B3	B-K210	1131	1165	34	6.4	0
y9-2-B5	B-K29	1063	1116	53	29.7	28.95
y9-2-B5	B-K210	1116	1178	62	26.4	22.55
y7-6-A4	B-K29	1013	1067	54	23	20.95
y7-6-A4	B-K210	1067	1132	65	29	27.05
y1-6-A4	B-K29	996	1048	52	26.3	18.4
y1-1-B5	B-K210	1063	1113	50	18.7	10
y7-1-B5	B-K210	1133	1160	27	10	0
y5-4-A6	B-K29	1035	1086	51	16.9	15.7
y5-4-A6	B-K210	1086	1146	60	20.2	19.35
y9-2-B4	B-K29	1071	1125	54	30.1	23.35
y9-2-B4	B-K210	1125	1187	62	29.1	23.75
y1-1-B3	B-K210	1062	1111	49	5.5	3.4
y7-6-A3	B-K29	1014	1068	54	25.1	22.45
y7-6-A3	B-K210	1068	1134	66	32.7	30.8
y9-4-A6	B-K29	1067	1120	53	23.9	7.5
y9-4-A6	B-K210	1120	1180	60	25.2	20.35
y1-6-A3	B-K29	996	1048	52	23.9	19.7
y1-6-A3	B-K210	1048	1142	94	42.1	32.1
y3-4-A5	B-K29	1012	1064	52	24.4	23.3
y3-4-A5	B-K210	1064	1129	65	26.1	26.1
y9-2-B3	B-K29	1065	1117	52	32.4	32.4
y9-2-B3	B-K210	1117	1179	62	24.9	23.75
y5-1-B5	B-K29	1039	1094	55	23.9	17.1
y5-1-B5	B-K210	1094	1159	65	29.4	12.9
y7-2-A6	B-K29	1048	1104	56	22.9	12.3
y7-2-A6	B-K210	1104	1173	69	20.3	19.2
y7-6-B3	B-K29	1014	1068	54	23.2	19.85
y7-6-B3	B-K210	1068	1133	65	36	35.5
y5-4-A5	B-K29	1036	1086	50	23.5	17.75
y5-4-A5	B-K210	1086	1147	61	33.8	25.05
y9-2-B2	B-K29	1067	1120	53	32.6	30.75
y9-2-B2	B-K210	1120	1179	59	28	23
y9-1-B4	B-K210	1154	1172	18	2.8	2.8
y5-1-B3	B-K29	1036	1091	55	13.5	4.7
y5-1-B3	B-K210	1091	1158	67	34.8	8.349999
y1-2-B4	B-K29	995	1043	48	21.5	20.85
y1-2-B4	B-K210	1043	1106	63	29.7	23.05
y1-1-B2	B-K210	1066	1110	44	21	12.95
y1-6-B3	B-K29	996	1047	51	26.7	20.5
y1-6-B3	B-K210	1047	1109	62	33.8	28.85
y13-6-A5	B-K29	1095	1145	50	22.9	0
y13-6-A5	B-K210	1145	1203	58	22.1	0
y11-6-A1	B-K29	1080	1110	30	4	0
y5-1-B2	B-K29	1036	1093	57	14.8	4
y5-1-B2	B-K210	1093	1158	65	22.9	2.4
y3-4-B4	B-K29	1010	1063	53	25.3	23.45
y3-4-B4	B-K210	1063	1128	65	32.9	26.9
y3-2-B5	B-K29	1014	1060	46	25.2	24.75
y3-2-B5	B-K210	1060	1124	64	28.4	22.45
y5-4-B4	B-K29	1036	1089	53	21.8	16.7
y5-4-B4	B-K210	1089	1148	59	25.5	21.15
y7-6-B2	B-K29	1015	1068	53	29.7	24.05
y7-6-B2	B-K210	1068	1135	67	36.3	33.05
y1-2-B3	B-K29	996	1043	47	24.8	22.7
y1-2-B3	B-K210	1043	1106	63	32.5	28.8
y7-2-B5	B-K29	1048	1106	58	25.4	14.5
y7-2-B5	B-K210	1106	1174	68	28.3	26.65
y3-2-B3	B-K29	1013	1060	47	26.7	24.95
y3-2-B3	B-K210	1060	1124	64	34.5	28.6
y9-1-B3	B-K210	1147	1163	16	8.1	4.05
y1-6-B2	B-K29	994	1043	49	29.4	23.95
y1-6-B2	B-K210	1043	1080	37	7.8	7.8
y5-4-B3	B-K29	1036	1088	52	27.2	23.5
y5-4-B3	B-K210	1088	1147	59	30.8	26.65
y31-4-A6	B-K29	1069	1121	52	23.8	20.35
y31-4-A6	B-K210	1121	1192	71	25.3	16.25
y3-4-B2	B-K29	1007	1057	50	25.3	25.3
y3-4-B2	B-K210	1057	1126	69	31.1	29.7
y7-6-B1	B-K29	1016	1045	29	6.5	5
y7-2-B4	B-K29	1050	1106	56	28	18
y7-2-B4	B-K210	1106	1175	69	35.9	29.3
y1-2-B2	B-K29	997	1045	48	21	20.15
y1-2-B2	B-K210	1045	1109	64	30	28.85
y3-2-B2	B-K29	1014	1060	46	26.4	24.5
y3-2-B2	B-K210	1060	1125	65	23.8	18.7
y5-6-A5	B-K29	1014	1068	54	25.1	23.1
y5-6-A5	B-K210	1068	1134	66	32.5	32.5
y11-4-A6	B-K29	1076	1123	47	26.4	0
y11-4-A6	B-K210	1123	1182	59	32.5	0.8
y7-4-A6	B-K29	1049	1102	53	30.8	24.8
y7-4-A6	B-K210	1102	1166	64	28.4	18.9
y3-6-A5	B-K29	996	1051	55	23.1	19.5
y3-6-A5	B-K210	1051	1104	53	26.4	25.2
y5-4-B2	B-K29	1036	1089	53	17.9	15.5
y5-4-B2	B-K210	1089	1149	60	20.7	18.95
y5-6-A3	B-K29	1015	1069	54	26.2	20.15
y5-6-A3	B-K210	1069	1134	65	29.7	29.7
y1-2-B1	B-K29	997	1030	33	11.1	11.1
y3-4-B1	B-K29	1009	1040	31	8.9	8.25
y3-2-B1	B-K29	1015	1045	30	12.5	12.5
y31-4-B4	B-K29	1066	1117	51	27.8	21.15
y31-4-B4	B-K210	1117	1188	71	17.7	5.3
y11-4-B4	B-K29	1073	1120	47	22.9	0
y11-4-B4	B-K210	1120	1179	59	26.5	0.95
y5-6-B2	B-K29	1019	1073	54	26.6	19.7
y5-6-B2	B-K210	1073	1140	67	35.3	34.25
y31-6-A5	B-K29	1064	1120	56	34.1	1.35
y31-6-A5	B-K210	1120	1200	80	44.5	4.75
y7-4-B4	B-K29	1049	1102	53	28.9	25.1
y7-4-B4	B-K210	1102	1165	63	34.6	18.5
y3-4-B3	B-K29	1012	1064	52	25.9	24.9
y3-4-B3	B-K210	1064	1130	66	33.1	27.75
y7-2-B2	B-K29	1050	1106	56	19.8	13.4
y7-2-B2	B-K210	1106	1174	68	30	27.8
y1-4-A5	B-K29	1019	1067	48	19.2	15.6
y1-4-A5	B-K210	1067	1124	57	24.2	22.75
y5-4-B1	B-K29	1037	1090	53	18.2	17.4
y9-6-A3	B-K29	1080	1131	51	24.7	17.85
y9-6-A3	B-K210	1131	1192	61	30.3	24.9
y5-2-B6	B-K29	1040	1088	48	23.7	20.1
y5-2-B6	B-K210	1088	1151	63	32.8	28.8
y11-4-A5	B-K29	1075	1121	46	22	0
y11-4-A5	B-K210	1121	1181	60	21.5	1.8
y31-6-B1	B-K29	1062	1117	55	34.4	0
y31-6-B1	B-K210	1117	1150	33	1.3	0
y5-6-B1	B-K29	1020	1065	45	13.3	12.2
y1-4-B4	B-K29	1020	1066	46	20.1	14.7
y1-4-B4	B-K210	1066	1124	58	19.6	19.6
y7-4-B3	B-K29	1048	1102	54	29.1	28
y7-4-B3	B-K210	1102	1164	62	26.2	19.8
y9-4-A5	B-K29	1063	1116	53	21.8	12.1
y9-4-A5	B-K210	1116	1177	61	27.8	17.55
y5-2-B5	B-K29	1040	1088	48	51.2	45.9
y5-2-B5	B-K210	1088	1151	63	62.2	58.6
y9-6-A2	B-K29	1080	1132	52	22.3	12.85
y9-6-A2	B-K210	1132	1194	62	31.2	24.9
y1-4-B3	B-K29	1024	1072	48	21.1	15.05
y1-4-B3	B-K210	1072	1130	58	28.3	23.9
y7-4-B2	B-K29	1048	1101	53	20.4	18.9
y7-4-B2	B-K210	1101	1163	62	25.4	19.5
y33-2-B5	B-K29	905	958	53	23.8	20
y33-2-B5	B-K210	958	1018	60	25.1	24.1
y5-2-B3	B-K29	1041	1089	48	24	20.15
y5-2-B3	B-K210	1089	1153	64	30.5	28.65
y9-6-A1	B-K29	693	743	50	13.6	0.85
y9-6-A1	B-K210	743	849	106	42.6	10.8
y31-2-A6	B-K29	976	1020	44	15.9	15.9
y31-2-A6	B-K210	1020	1080	60	25	21.4
y31-4-B1	B-K29	1063	1115	52	18.2	18.2
y33-4-A5	B-K29	1065	1118	53	21.9	14.4
y33-4-A5	B-K210	1118	1192	74	23.7	12.4
y31-2-B3	B-K29	976	1018	42	17.2	16.55
y31-2-B3	B-K210	1018	1080	62	30.3	19.65
y31-2-B4	B-K29	978	1020	42	16.9	16.9
y31-2-B4	B-K210	1020	1081	61	35.7	30.15
y9-4-B3	B-K29	1066	1116	50	21.4	9.5
y9-4-B3	B-K210	1116	1180	64	24.8	18.3
y33-4-B4	B-K29	1062	1112	50	19.9	13.8
y33-4-B4	B-K210	1112	1188	76	25.7	19.95
y35-4-A6	B-K29	1020	1074	54	18.7	0
y35-4-A6	B-K210	1074	1140	66	35.8	4.65
y31-2-B2	B-K29	974	1016	42	17.4	15.95
y31-2-B2	B-K210	1016	1078	62	30.6	26.15
y11-4-B1	B-K29	1072	1130	58	16.5	0
y33-4-B3	B-K29	1055	1110	55	19	15.3
y33-4-B3	B-K210	1110	1182	72	23.7	11.15
y31-2-B1	B-K29	975	1016	41	19	16.7
y31-2-B1	B-K210	1016	1035	19	8.4	4.2
y9-4-B2	B-K29	1062	1110	48	21.5	13.4
y9-4-B2	B-K210	1110	1175	65	25.3	22.05
y33-4-B2	B-K29	1056	1107	51	28.6	17.9
y33-4-B2	B-K210	1107	1178	71	32.9	20.8
y9-4-B1	B-K29	1062	1110	48	13.3	11.6
