井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）	砂地比
y13-1-B5	B-K35	1533	1560	27	5.7	1.2	0.21
y5-3-B5	B-K35	1482	1520	38	6.1	4.3	0.16
y3-4-A5	B-K35	1548	1580	32	2.5	1.25	0.08
y5-1-B5	B-K35	1489	1520	31	2.4	1.2	0.08
y7-2-A6	B-K35	1516	1580	64	13.4	8.45	0.21
y7-2-A6	B-K36	1580	1716	136	14.7	4.1	0.11
y3-2-B5	B-K35	1482	1515	33	7	4.4	0.21
y7-2-B5	B-K35	1519	1576	57	7.9	1.85	0.14
y9-3-B5	B-K35	1484	1530	46	13.4	12.85	0.29
y5-6-A5	B-K35	1576	1610	34	5.1	5.1	0.15
y11-1-B6	B-K35	1516	1598	82	30.1	13.85	0.37
y11-1-B5	B-K35	1514	1550	36	7.4	3.7	0.21
y7-3-B5	B-K35	1508	1570	62	22.1	11.25	0.36
y5-2-B6	B-K35	1515	1579	64	19.4	6.05	0.3
y5-2-B6	B-K36	1579	1670	91	18.9	9.3	0.21
y11-3-B6	B-K35	1512	1584	72	31.7	25.3	0.44
y11-3-B6	B-K36	1584	1660	76	14.9	10.8	0.2
y11-3-B6	B-K37	1660	1730	70	20.2	9.15	0.29
y5-2-B5	B-K35	1515	1565	50	35.8	31.1	0.72
y33-2-B5	B-K35	1456	1532	76	23.6	9.45	0.31
y33-2-B5	B-K36	1532	1580	48	14.1	1.75	0.29
y31-2-A6	B-K35	1438	1505	67	24.1	1	0.36
y31-2-A6	B-K36	1505	1576	71	19.6	0.95	0.28
y31-2-A6	B-K37	1576	1612	36	14	0	0.39
y9-5-B6	B-K35	1475	1544	69	29.5	6.6	0.43
y9-5-B6	B-K36	1544	1627	83	27	5	0.33
y9-5-B6	B-K37	1627	1701	74	24.6	12.95	0.33
y13-3-B6	B-K35	1492	1635	143	57.9	42.05	0.4
y13-3-B6	B-K37	1635	1670	35	16.7	0	0.48
y17-1-A6	B-K35	1595	1662	67	13.1	1.35	0.2
y17-1-A6	B-K36	1662	1740	78	20.4	0	0.26
y17-1-A6	B-K37	1740	1829	89	21	0	0.24
y23-1-A6	B-K35	1658	1724	66	12.5	0.55	0.19
y23-1-A6	B-K36	1724	1806	82	9.8	1.05	0.12
y23-1-A6	B-K37	1806	1896	90	18.8	8	0.21
y27-1	B-K35	1574	1642	68	25.5	12.9	0.38
y27-1	B-K36	1642	1739	97	18.1	0	0.19
y27-1	B-K37	1739	1808	69	24.4	10.55	0.35
