井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）
y3-3-B6	B-K31	1255	1314	59	25.7	1.55
y13-1-B6	B-K31	1305	1369	64	18.9	13.1
y5-3-B6	B-K3	1229	1277	48	18.3	10.6
y5-3-B6	B-K31	1277	1334	57	13.1	8.6
y3-4-A6	B-K3	1226	1284	58	15.9	15.05
y3-4-A6	B-K31	1284	1341	57	20.3	14.9
y7-1-B3	B-K3	1258	1285	27	2.2	2.2
y9-2-B5	B-K3	1276	1336	60	21.3	16.45
y9-2-B5	B-K31	1336	1392	56	25.8	21.75
y1-1-B5	B-K3	1202	1261	59	21.9	13.9
y1-1-B5	B-K31	1261	1306	45	22.9	15.9
y3-3-B5	B-K3	1221	1254	33	10.4	0
y3-3-B5	B-K31	1254	1313	59	22.2	0
y7-1-B5	B-K3	1249	1314	65	23.9	20.9
y7-1-B5	B-K31	1314	1364	50	27.8	18.8
y5-4-A6	B-K3	1246	1307	61	15.7	15.7
y5-4-A6	B-K31	1307	1364	57	10.2	10.2
y13-1-B5	B-K3	1306	1311	5	2.7	2.7
y13-1-B5	B-K31	1311	1368	57	17.4	12.2
y9-2-B4	B-K3	1284	1340	56	25.6	17.1
y9-2-B4	B-K31	1340	1398	58	24.2	22.5
y1-1-B3	B-K3	1202	1235	33	2.7	2.7
y9-4-A6	B-K3	1282	1323	41	14.1	5.8
y5-3-B5	B-K3	1228	1275	47	11.1	3.6
y5-3-B5	B-K31	1275	1331	56	19.3	11.7
y3-4-A5	B-K3	1226	1288	62	15.3	14.45
y3-4-A5	B-K31	1288	1342	54	17.3	17.3
y9-2-B3	B-K3	1283	1315	32	5.3	5.3
y5-1-B5	B-K3	1246	1303	57	15.4	8.8
y5-1-B5	B-K31	1303	1354	51	20.2	18.6
y7-2-A6	B-K3	1265	1327	62	13.5	13.05
y7-2-A6	B-K31	1327	1376	49	21.8	13.45
y5-4-A5	B-K3	1247	1307	60	23.5	22.2
y5-4-A5	B-K31	1307	1366	59	18.6	15.15
y9-1-B4	B-K3	1257	1324	67	29.2	22.9
y9-1-B4	B-K31	1324	1379	55	24.7	21.9
y5-1-B3	B-K3	1245	1275	30	3.1	3.1
y1-2-B4	B-K3	1198	1261	63	18.4	10.55
y1-2-B4	B-K31	1261	1319	58	22.1	19.4
y13-1-B4	B-K3	1313	1318	5	3.3	3.3
y13-1-B4	B-K31	1318	1380	62	27	18.95
y3-4-B4	B-K3	1225	1282	57	15.6	13.4
y3-4-B4	B-K31	1282	1340	58	20.9	17.45
y3-2-B5	B-K3	1221	1276	55	21.1	14.4
y3-2-B5	B-K31	1276	1332	56	25.4	17.6
y5-4-B4	B-K3	1248	1309	61	19.9	18.85
y5-4-B4	B-K31	1309	1366	57	24.9	17.85
y1-2-B3	B-K3	1200	1230	30	0	0
y7-2-B5	B-K3	1267	1328	61	15.2	15.2
y7-2-B5	B-K31	1328	1377	49	19.8	18.8
y9-3-B5	B-K31	1287	1340	53	27.9	17.05
y3-2-B3	B-K3	1221	1250	29	3.6	2.35
y9-1-B3	B-K3	1251	1290	39	8.4	8.4
y5-4-B3	B-K3	1246	1280	34	8.5	4.6
y31-4-A6	B-K3	1292	1352	60	14.4	9.75
y31-4-A6	B-K31	1352	1415	63	22.6	21.6
y7-2-B4	B-K3	1266	1328	62	19.1	16.8
y7-2-B4	B-K31	1328	1378	50	24.3	24.3
y5-6-A5	B-K3	1272	1336	64	30.6	16.95
y5-6-A5	B-K31	1336	1410	74	28.5	22.5
y11-4-A6	B-K3	1284	1338	54	19.7	7.1
y7-4-A6	B-K3	1270	1326	56	8.8	6.2
y7-4-A6	B-K31	1326	1381	55	21.7	18.2
y5-6-A3	B-K3	1272	1325	53	11	6.65
y11-1-B6	B-K3	1237	1295	58	13.7	0
y11-1-B6	B-K31	1295	1354	59	17.4	11.2
y11-1-B5	B-K3	1235	1294	59	14.4	0
y11-1-B5	B-K31	1294	1352	58	23.4	18.4
y31-4-B4	B-K3	1291	1349	58	20.5	16.2
y31-4-B4	B-K31	1349	1412	63	26.1	20.65
y11-4-B4	B-K3	1278	1370	92	34.1	9.95
y7-3-B5	B-K31	1299	1357	58	18.9	13.85
y7-4-B4	B-K3	1267	1324	57	13.9	13.9
y7-4-B4	B-K31	1324	1382	58	25.5	25.5
y3-4-B3	B-K3	1227	1255	28	9.4	5.65
y1-4-A5	B-K3	1222	1283	61	16.8	11.2
y1-4-A5	B-K31	1283	1337	54	22.5	19.95
y5-2-B6	B-K3	1237	1296	59	14.8	5.35
y5-2-B6	B-K31	1296	1364	68	25.2	19.05
y11-4-A5	B-K3	1281	1380	99	30.1	13.9
y1-4-B4	B-K3	1221	1284	63	14.6	9
y1-4-B4	B-K31	1284	1337	53	23.6	23.6
y7-4-B3	B-K3	1266	1320	54	12.3	9.8
y9-4-A5	B-K3	1277	1319	42	17.8	11.85
y5-2-B5	B-K3	1237	1297	60	60	42.4
y5-2-B5	B-K31	1297	1366	69	55.2	39.9
y1-4-B3	B-K3	1225	1275	50	17.7	14.45
y33-2-B5	B-K3	1138	1205	67	25.9	25.55
y33-2-B5	B-K31	1205	1283	78	28.8	22.05
y5-2-B3	B-K3	1240	1285	45	9.4	3.05
y31-2-A6	B-K3	1177	1242	65	17.9	15.65
y31-2-A6	B-K31	1242	1293	51	20.5	18
y33-4-A5	B-K3	1292	1355	63	20.4	9.55
y33-4-A5	B-K31	1355	1422	67	28.3	23.45
y31-2-B3	B-K3	1177	1230	53	14.8	11.5
y31-2-B4	B-K3	1178	1244	66	24.7	22.9
y31-2-B4	B-K31	1244	1298	54	25.2	21.85
y9-4-B3	B-K3	1281	1325	44	5.7	2.2
y3-1-B6	B-K3	872	922	50	19	1.8
y3-1-B6	B-K31	922	982	60	24.8	10.95
y33-4-B4	B-K3	1288	1350	62	17.8	11.75
y33-4-B4	B-K31	1350	1417	67	23.9	17.35
y23-1-A6	B-K3	1401	1456	55	13.4	7.05
y23-1-A6	B-K31	1456	1514	58	14.7	6.85
y35-4-A6	B-K3	1260	1330	70	14.2	0
y35-4-A6	B-K31	1330	1418	88	12.7	0
y27-1	B-K3	1316	1368	52	13.4	2.9
y27-1	B-K31	1368	1434	66	9.5	0.6
y33-4-B3	B-K3	1286	1345	59	12.6	4.2
y32-2-A3	B-K3	1299	1350	51	14.3	8.900001
