井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）
sha37	B-K3	996	1055	59	28.8	19.1
sha37	B-K31	1055	1117	62	28.4	26.35
sha40	B-K3	1205	1261	56	23.6	20.65
sha40	B-K31	1261	1310	49	24.9	22.6
sha45	B-K3	1241	1302	61	16.9	0
sha45	B-K31	1302	1358	56	20.6	0
yd103	B-K31	1071	1129	58	18	9.5
yd104	B-K3	1035	1100	65	19.6	2.15
yd104	B-K31	1100	1156	56	19.5	0
yd107	B-K3	1281	1325	44	10.1	4.8
yshi1-1	B-K3	1004	1059	55	13.2	13.2
yshi1-1	B-K31	1059	1119	60	25.9	25.9
yshi1-2	B-K3	1005	1059	54	23.3	21.3
yshi1-2	B-K31	1059	1121	62	22.2	21.55
yshi1-3	B-K3	1005	1062	57	23.6	20.25
yshi1-3	B-K31	1062	1123	61	25.7	25.05
yshi1-4	B-K3	1006	1050	44	2.6	0
yshi2-1	B-K3	1170	1225	55	32.3	13.6
yshi2-1	B-K31	1225	1285	60	27.1	21.9
yshi2-2	B-K3	1170	1225	55	28.2	13.45
yshi2-2	B-K31	1225	1285	60	25.1	13.05
yshi2-3	B-K3	1171	1225	54	27.8	7.25
yshi2-3	B-K31	1225	1285	60	30.9	19.85
yshi2-4	B-K3	1171	1225	54	19.9	9.05
yshi2-4	B-K31	1225	1284	59	21.7	16.85
yshi2-5	B-K3	1169	1224	55	22.7	10.25
yshi2-5	B-K31	1224	1281	57	24.2	7.45
yshi4-1	B-K3	1009	1066	57	14.1	3.8
yshi4-1	B-K31	1066	1130	64	31.4	18.65
yshi4-2	B-K3	1008	1069	61	11.5	2.65
yshi4-2	B-K31	1069	1131	62	26.8	9.7
yshi4-3	B-K3	1008	1066	58	20.4	0
yshi4-3	B-K31	1066	1132	66	28.7	12.9
yshi5-1	B-K3	981	1031	50	12.8	0
yshi5-1	B-K31	1031	1094	63	22.8	12.15
yshi6-1	B-K3	980	1032	52	12.5	5.4
yshi6-1	B-K31	1032	1090	58	13.1	5.5
yshi7-1	B-K3	1203	1260	57	18.1	18.1
yshi7-1	B-K31	1260	1306	46	20.2	20.2
yshi8-1	B-K3	1236	1298	62	14.6	14.6
yshi8-1	B-K31	1298	1362	64	21.7	18.7
yshi9-1	B-K3	1232	1280	48	24.6	24.6
yshi9-1	B-K31	1280	1338	58	11.1	10.15
yshi10-1	B-K3	1245	1304	59	20.6	16.4
yshi10-1	B-K31	1304	1352	48	13.5	9
yshi11-1	B-K3	1224	1280	56	16.1	14.9
yshi11-1	B-K31	1280	1340	60	26	19.9
yshi12-1	B-K3	1219	1279	60	17.2	17.2
yshi12-1	B-K31	1279	1336	57	25.5	25.5
yshi13-1	B-K3	1251	1315	64	20	20
yshi13-1	B-K31	1315	1365	50	20.5	20.5
yshi14-1	B-K31	1256	1314	58	19.9	10.4
yshi15-1	B-K3	1200	1261	61	15.8	14.7
yshi15-1	B-K31	1261	1323	62	24.6	17.7
yd114	B-K3	1062	1115	53	27.7	3.45
yd114	B-K31	1115	1170	55	17.3	0
yd116	B-K3	1134	1201	67	26.2	9.5
yd116	B-K31	1201	1276	75	21.4	6.4
y11-2	B-K3	1292	1352	60	13.2	5.1
y11-2	B-K31	1352	1408	56	12.7	4.1
y7-1-B6	B-K3	1251	1316	65	17.8	12.15
y7-1-B6	B-K31	1316	1367	51	19.4	16.45
y9-1-B6	B-K3	1266	1327	61	29	16.15
y9-1-B6	B-K31	1327	1379	52	21.9	20.05
y9-2-A6	B-K3	1278	1336	58	20.4	18.45
y9-2-A6	B-K31	1336	1392	56	22.2	19.85
y13-4-A6	B-K3	1326	1366	40	14.9	0
y45-2-B6	B-K3	1023	1090	67	26.9	1.2
y45-2-B6	B-K31	1090	1153	63	24.1	0
y11-2-B4	B-K3	1296	1355	59	23.7	1.35
y11-2-B4	B-K31	1355	1410	55	17.9	5.55
y3-3-B6	B-K3	1221	1255	34	1.5	1.5
