方4-斜3	807.95	8.022	0.934
方4-斜3	808.95	8.069	0.933
方4-斜3	809.95	7.807	0.934
方4-斜3	810.95	7.506	0.937
方4-斜3	811.95	7.388	0.941
方4-斜3	812.95	7.386	0.945
方4-斜3	813.95	7.371	0.947
方4-斜3	814.95	7.561	0.946
方4-斜3	815.95	8.253	0.943
方4-斜3	816.95	9.194	0.937
方4-斜3	817.95	9.92	0.93
方4-斜3	818.95	10.408	0.922
方4-斜3	819.95	10.787	0.917
方4-斜3	820.95	11.046	0.912
方4-斜3	821.95	11.197	0.91
方4-斜3	822.95	11.422	0.908
方4-斜3	823.95	11.749	0.908
方4-斜3	824.95	11.917	0.911
方4-斜3	825.95	11.888	0.916
方4-斜3	826.95	11.888	0.924
方4-斜3	827.95	11.987	0.931
方4-斜3	828.95	12.011	0.937
方4-斜3	829.95	11.836	0.94
方4-斜3	830.95	11.68	0.939
方4-斜3	831.95	11.805	0.935
方4-斜3	832.95	12.098	0.93
方4-斜3	833.95	12.262	0.927
方4-斜3	834.95	12.274	0.926
方4-斜3	835.95	12.332	0.926
方4-斜3	836.95	12.465	0.926
方4-斜3	837.95	12.647	0.927
方4-斜3	838.95	12.931	0.928
方4-斜3	839.95	13.265	0.929
方4-斜3	840.95	13.462	0.931
方4-斜3	841.95	13.488	0.932
方4-斜3	842.95	13.7	0.933
方4-斜3	843.95	14.193	0.932
方4-斜3	844.95	14.58	0.93
方4-斜3	845.95	14.734	0.928
方4-斜3	846.95	14.849	0.925
方4-斜3	847.95	14.861	0.923
方4-斜3	848.95	14.338	0.922
方4-斜3	849.95	13.231	0.924
方4-斜3	850.95	12.352	0.928
方4-斜3	851.95	12.447	0.933
方4-斜3	852.95	13.172	0.938
方4-斜3	853.95	13.767	0.941
方4-斜3	854.95	14.075	0.945
方4-斜3	855.95	14.319	0.951
方4-斜3	856.95	14.612	0.962
方4-斜3	857.95	14.741	0.977
方4-斜3	858.95	14.239	0.991
方4-斜3	859.95	12.914	0.995
方4-斜3	860.95	11.178	0.984
方4-斜3	861.95	9.989	0.963
方4-斜3	862.95	9.717	0.942
方4-斜3	863.95	9.819	0.928
方4-斜3	864.95	9.809	0.919
方4-斜3	865.95	9.751	0.911
方4-斜3	866.95	10.084	0.904
方4-斜3	867.95	10.853	0.898
方4-斜3	868.95	11.597	0.895
方4-斜3	869.95	11.951	0.895
方4-斜3	870.95	12.1	0.895
方4-斜3	871.95	12.325	0.894
方4-斜3	872.95	12.409	0.893
方4-斜3	873.95	11.948	0.894
方4-斜3	874.95	10.968	0.898
方4-斜3	875.95	9.83	0.903
方4-斜3	876.95	8.776	0.908
方4-斜3	877.95	7.952	0.914
方4-斜3	878.95	7.566	0.921
方4-斜3	879.95	7.602	0.927
方4-斜3	880.95	7.699	0.933
方4-斜3	881.95	7.468	0.937
方4-斜3	882.95	6.682	0.939
方4-斜3	883.95	5.736	0.94
方4-斜3	884.95	5.609	0.94
方4-斜3	885.95	5.473	0.94
方4-斜3	886.95	5.1	0.94
方4-斜3	887.95	5.082	0.941
方4-斜3	888.95	4.527	0.942
方4-斜3	889.95	3.991	0.943
方4-斜3	890.95	3.509	0.942
方4-斜3	891.95	2.891	0.938
方4-斜3	892.95	2.1	0.933
方4-斜3	893.95	1.582	0.925
方4-斜3	894.95	0.636	0.915
方4-斜3	895.95	358.618	0.903
方4-斜3	896.95	357.609	0.896
方4-斜3	897.95	357.5	0.895
方4-斜3	898.95	357.445	0.898
方4-斜3	899.95	357.064	0.9
方4-斜3	900.95	356.455	0.9
方4-斜3	901.95	355.827	0.898
方4-斜3	902.95	354.955	0.896
方4-斜3	903.95	354.509	0.895
方4-斜3	904.95	354.5	0.894
方4-斜3	905.95	354.5	0.894
方4-斜3	906.95	354.218	0.897
