jh	ny	scts	‘¬≤˙”Õ£®∂÷£©	‘¬≤˙ÀÆ(∂÷)	‘¬≤˙∆¯(ÕÚ∑Ω)	¿€≤˙”Õ(ÕÚ∂÷)	¿€≤˙ÀÆ(ÕÚ∂÷)	¿€≤˙∆¯(ÕÚ∑Ω)	Ã◊—π	”Õ—π	æ≤—π	¡˜—π
”¢ ‘6-1	201208	8.63	0.38 	39.76 	0.0000 	0.0028 	0.0186 	0.4547 	0.26	0.00	0	0
”¢ ‘8-1	201208	20.29	206.40 	5.52 	5.9769 	0.1488 	0.0116 	23.4968 	3.80	1.36	0	0
”¢ ‘9-1	201208	31.00	252.80 	10.11 	0.0021 	0.1709 	0.0151 	85.3687 	6.68	5.02	0	0
…∞37	201209	29.67	104.35	15.08	4.0484 	0.1797 	0.0543 	55.1901 	0.46	0.00	0.00	0.00
”¢∂´102	201209	29.67	104.67	2.04	1.2278 	0.1478	0.0168	5.1243	0.45	0.00	0.00	0.00
”¢∂´104	201209	8.10	3.58	5.16	1.9829 	0.0062	0.0189	5.7432	0.31	0.00	0.00	0.00
”¢∂´105	201209	0.00	0.00	0.00	0.0000 	0.0395 	0.0067 	3.0935 	0.00	0.00	0.00	0.00
”¢∂´107	201209	29.67	61.68	2.62	0.8216 	0.0457 	0.0070 	3.9151 	0.31	0.00	0.00	0.00
”¢ ‘1-1	201209	20.77	15.31	32.65	0.8933 	0.0561 	0.0235 	20.0464 	0.26	0.00	0.00	0.00
”¢ ‘1-2	201209	29.29	154.81	21.64	4.7638 	0.1385 	0.0289 	51.0964 	0.52	0.00	0.00	0.00
”¢ ‘1-3	201209	29.67	221.07	5.04	3.7851 	0.2589 	0.0185 	30.7386 	0.25	0.00	0.00	0.00
”¢ ‘1-4	201209	29.67	153.26	76.69	4.4224 	0.2595 	0.0340 	37.3437 	0.21	0.00	0.00	0.00
”¢ ‘11-1	201209	18.29	270.97	3.72	2.6286 	0.1002 	0.0051 	8.5738 	6.85	1.09	0.00	0.00
”¢ ‘12-1	201209	30.00	308.16	4.67	3.3234 	0.0893 	0.0051 	5.7678 	4.92	1.53	0.00	0.00
”¢ ‘13-1	201209	23.17	344.88	10.76	4.0013 	0.0378	0.0050	4.0013	0.41	0.24	0.00	0.00
”¢ ‘14-1	201209	20.71	39.09	14.46	13.3572 	0.0094	0.0063	57.17020000	3.36	3.12	0.00	0.00
”¢ ‘15-1	201209	24.38	191.67	23.10	20.4636 	0.0192	0.0023	20.46000000	5.86	3.79	0.00	0.00
”¢ ‘2-1	201209	20.69	135.32	31.73	2.0121 	0.0509	0.0130	14.46730000	0.58	0.00	0.00	0.00
”¢ ‘2-2	201209	0.00	0.00	0.00	0.0000 	0.0035	0.0033	3.10250000	0.00	0.00	0.00	0.00
”¢ ‘2-3	201209	0.00	0.00	0.00	0.0000 	0.0010	0.0044	18.18560000	0.00	0.00	0.00	0.00
”¢ ‘2-4	201209	0.00	0.00	0.00	0.0000 	0.0068	0.0024	12.97620000	0.00	0.00	0.00	0.00
”¢ ‘2-5	201209	0.00	0.00	0.00	0.0000 	0.0090	0.0041	37.32580000	0.00	0.00	0.00	0.00
”¢ ‘3-1	201209	0.00	0.00	0.00	0.0000 	0.0056	0.0019	38.16692000	0.00	0.00	0.00	0.00
”¢ ‘4-3	201209	24.96	213.90	109.00	1.5851 	0.1832	0.0646	8.9387	0.25	0.00	0.00	0.00
”¢ ‘6-1	201209	22.42	0.67	78.90	0.0021 	0.0028	0.0265	0.4568	0.29	0.00	0.00	0.00
”¢ ‘8-1	201209	7.71	105.02	2.12	2.1473 	0.1593	0.0118	25.6441	4.75	1.99	0.00	0.00
”¢ ‘9-1	201209	30.00	345.55	7.69	18.7327 	0.2055	0.0159	104.1014	6.52	4.13	0.00	0.00
…∞37	201210	31.00	70.60	9.35	3.9317 	0.1868 	0.0552 	59.1218 	0.53	0.00	0.00	0.00
”¢∂´102	201210	31.00	113.05	3.36	0.9264 	0.1591	0.0171	6.0507	0.30	0.14	0.00	0.00
”¢∂´104	201210	2.44	2.06	10.58	0.3696 	0.0065	0.0200	6.1128	0.32	0.00	0.00	0.00
”¢∂´105	201210	0.00	0.00	0.00	0.0000 	0.0395 	0.0067 	3.0935 	0.00	0.00	0.00	0.00
”¢∂´107	201210	31.00	82.85	7.18	0.5876 	0.0539 	0.0077 	4.5027 	0.19	0.15	0.00	0.00
”¢ ‘1-1	201210	29.33	48.55	33.03	3.4641 	0.0609 	0.0268 	23.5105 	0.24	0.00	0.00	0.00
”¢ ‘1-2	201210	23.06	113.94	17.51	3.1537 	0.1499 	0.0306 	54.2501 	0.43	0.00	0.00	0.00
”¢ ‘1-3	201210	31.00	202.95	5.52	3.9317 	0.2792 	0.0191 	34.6703 	0.23	0.00	0.00	0.00
”¢ ‘1-4	201210	25.83	131.99	45.27	3.3479 	0.2727 	0.0385 	40.6916 	0.24	0.00	0.00	0.00
”¢ ‘11-1	201210	11.54	136.60	1.67	1.1819 	0.1139 	0.0053 	9.7557 	6.48	1.25	0.00	0.00
”¢ ‘12-1	201210	31.00	291.17	4.72	3.0226 	0.1184 	0.0055 	8.7904 	4.76	1.15	0.00	0.00
”¢ ‘13-1	201210	31.00	423.60	10.64	13.9335 	0.0801	0.0060	17.9348	0.72	0.24	0.00	0.00
”¢ ‘14-1	201210	9.27	11.07	0.36	0.3370 	0.0105	0.0063	57.50720000	0.13	0.00	0.00	0.00
”¢ ‘15-1	201210	29.06	182.21	42.96	17.6618 	0.0374	0.0066	38.12540000	4.49	2.48	0.00	0.00
”¢ ‘2-1	201210	16.00	67.04	6.49	1.0868 	0.0576	0.0136	15.5541	0.21	0.00	0.00	0.00
”¢ ‘2-2	201210	0.00	0.00	0.00	0.0000 	0.0035	0.0033	3.10250000	0.00	0.00	0.00	0.00
”¢ ‘2-3	201210	0.00	0.00	0.00	0.0000 	0.0010	0.0044	18.18560000	0.00	0.00	0.00	0.00
”¢ ‘2-4	201210	4.65	16.58	1.50	0.4845 	0.0084 	0.0026 	13.4607 	0.24	0.00	0.00	0.00
”¢ ‘2-5	201210	0.00	0.00	0.00	0.0000 	0.0090	0.0041	37.32580000	0.00	0.00	0.00	0.00
”¢ ‘3-1	201210	0.00	0.00	0.00	0.0000 	0.0056	0.0019	38.16692000	0.00	0.00	0.00	0.00
”¢ ‘4-3	201210	31.00	332.64	81.86	1.8263 	0.2165	0.0728	10.7650	0.23	0.00	0.00	0.00
”¢ ‘6-1	201210	1.21	0.04	4.38	0.0000 	0.0029	0.0270	0.4568	0.52	0.00	0.00	0.00
”¢ ‘8-1	201210	31.00	361.94	6.12	7.9860 	0.1955	0.0124	33.6301	3.08	0.90	0.00	0.00
”¢ ‘9-1	201210	1.17	21.37	0.26	1.5140 	0.2076	0.0159	105.6154	6.54	1.90	0.00	0.00
…∞37	201211	29.71	35.22	4.72	2.8288 	0.1871 	0.0553 	59.4047 	0.46	0.00	0.00	0.00
”¢∂´102	201211	29.71	117.15	4.12	0.3106 	0.1709	0.0175	6.3613	0.32	0.00	0.00	0.00
”¢∂´104	201211	0.00	0.00	0.00	0.0000 	0.0065	0.0200	6.1128	0.00	0.00	0.00	0.00
”¢∂´105	201211	11.94	161.89	47.75	0.5140 	0.0557 	0.0115 	3.6075 	6.67	2.10	0.00	0.00
”¢∂´107	201211	29.71	61.80	7.98	0.4883 	0.0601 	0.0085 	4.9910 	0.20	0.00	0.00	0.00
”¢ ‘1-1	201211	29.71	33.24	11.92	2.8788 	0.0643 	0.0280 	26.3893 	0.28	0.00	0.00	0.00
”¢ ‘1-2	201211	28.40	155.40	13.24	2.9444 	0.1654 	0.0319 	57.1945 	0.32	0.00	0.00	0.00
