jh	ny	scts	‘¬≤˙”Õ£®∂÷£©	‘¬≤˙ÀÆ(∂÷)	‘¬≤˙∆¯(ÕÚ∑Ω)	¿€≤˙”Õ(ÕÚ∂÷)	¿€≤˙ÀÆ(ÕÚ∂÷)	¿€≤˙∆¯(ÕÚ∑Ω)	Ã◊—π	”Õ—π	æ≤—π	¡˜—π
”¢ ‘1-4	201204	30.00	280.60 	13.28 	3.4523 	0.1690 	0.0210 	22.4448 	0.30	0.00	0.00	0.00
”¢ ‘2-2	201204	25.50	0.00 	0.00 	1.0821 	0.0026 	0.0007 	2.3315 	0.34	0.00	0.00	0.00
”¢ ‘2-3	201204	29.63	0.00 	0.00 	7.1743 	0.0009 	0.0005 	15.5125 	4.41	3.14	0.00	0.00
”¢ ‘2-4	201204	23.33	11.76 	0.98 	1.1239 	0.0056 	0.0024 	11.3927 	0.26	0.00	0.00	0.00
”¢ ‘2-5	201204	19.46	13.56 	20.97 	2.4772 	0.0090 	0.0041 	37.1568 	0.40	0.00	0.00	0.00
”¢ ‘3-1	201204	7.35	0.00 	0.00 	0.9416 	0.0045 	0.0019 	19.3235 	6.20	4.49	0.00	0.00
”¢ ‘4-2	201204	12.96	0.37 	43.29 	0.3226 	0.0029 	0.0220 	0.5729 	0.16	0.00	0.00	0.00
”¢ ‘4-3	201204	27.54	249.24 	34.35 	0.4949 	0.0598 	0.0376 	1.8411 	0.28	0.00	0.00	0.00
”¢ ‘6-1	201204	17.92	3.04 	26.83 	0.2490 	0.0020 	0.0050 	0.2490 	0.22	0.00	0.00	0.00
”¢ ‘8-1	201204	24.58	273.83 	60.68 	1.4359 	0.0325 	0.0074 	1.4360 	1.74	0.71	0.00	0.00
”¢ ‘9-1	201204	30.00	295.28 	12.18 	27.0483 	0.0403 	0.0067 	30.1617 	8.13	5.37	0.00	0.00
…∞37	201205	17.06	31.76 	2.89 	1.6046 	0.1565 	0.0453 	44.9180 	3.08	0.00	0.00	0.00
