yshi5-1	45.8	16340999.69	4214388.73	3019.75
sha45	61.6	16342508.80	4212531.60	3006.85
y11-2	38.0	16339145.40	4216073.30	3113.79
yshi6-1	63.7	16341125.10	4214024.90	3019.32
yshi3-1	79.0	16340278.52	4215309.98	3112.16
y3-3-B6	50.4	16339973.40	4215668.70	3151.92
yshi1-2	11.7	16340731.47	4214080.16	3014.21
yshi7-1	51.3	16339935.00	4215413.00	3096.20
yshi1-1	16.1	16340734.00	4214085.60	3014.21
y9-2-B5	18.5	16339230.70	4215876.90	3138.47
sha40	101.2	16339925.30	4215416.10	3106.88
yshi4-3	31.5	16340412.20	4214457.10	3007.82
yshi4-2	32.0	16340415.40	4214462.00	3007.77
yshi4-1	41.3	16340418.80	4214467.00	3007.77
yshi9-1	50.0	16339821.00	4215758.50	3160.24
y17-1-A6	54.5	16338832.00	4216728.00	3103.56
yd103	90.0	16340626.70	4214914.90	3052.44
yd102	67.7	16339315.60	4216264.70	3134.91
y5-3-B6	31.3	16339818.00	4215753.30	3160.24
yd104	105.6	16341530.60	4213917.00	3023.51
y5-3-B5	6.1	16339823.00	4215763.70	3160.24
yshi14-1	66.8	16339970.40	4215663.50	3153.00
yshi12-1	63.0	16339640.50	4215406.00	3105.68
y7-2-A6	28.1	16339372.70	4215728.20	3132.70
y11-1-B6	30.1	16339265.00	4216152.00	3141.46
yshi13-1	56.1	16339553.10	4215788.70	3129.32
y5-2-B5	35.8	16339528.50	4215552.50	3126.36
yshi10-1	91.6	16339678.10	4215663.40	3132.75
y23-1-A6	41.1	16338371.75	4217060.79	3142.58
yshi15-1	77.1	16339774.40	4215275.30	3090.07
y9-5-B6	81.1	16339705.84	4216225.76	3161.52
y13-3-B6	74.6	16339269.74	4216448.85	3103.34
y1-1-B5	8.5	16339940.20	4215410.00	3096.20
y3-2-B5	7.0	16339646.50	4215416.40	3104.60
y3-3-B5	13.1	16339976.40	4215673.90	3151.92
yshi11-1	75.3	16339799.90	4215530.30	3117.63
yshi8-1	38.6	16339522.50	4215542.10	3127.36
y5-2-B6	38.3	16339525.50	4215547.30	3126.36
y7-3-B5	22.1	16339678.10	4215965.50	3172.10
y5-6-A5	5.1	16339205.50	4215301.50	3049.38
y9-2-A6	64.1	16339236.70	4215887.30	3138.53
y31-2-A6	57.7	16339932.68	4215069.10	3054.10
y7-2-B5	7.9	16339369.70	4215723.00	3132.70
yd112	71.7	16339228.10	4216670.20	3076.20
y9-3-B5	13.4	16339540.30	4216138.60	3122.09
yd116	24.7	16340037.80	4214957.30	3039.25
y9-1-B5	2.1	16339402.10	4216002.10	3130.32
yd114	70.6	16341460.60	4213461.10	3018.61
y11-1-B5	7.4	16339268.00	4216157.20	3141.46
y33-2-B5	37.7	16340037.52	4214951.92	3038.44
y5-1-B5	2.4	16339672.10	4215653.00	3132.75
y13-1-B6	37.2	16339150.00	4216333.20	3138.70
y45-2-B6	19.9	16340906.00	4213929.20	3012.37
y13-1-B5	5.7	16339147.00	4216328.00	3138.50
y3-4-A5	2.5	16339495.00	4215306.20	3075.62
y3-4-A6	12.4	16339498.00	4215311.40	3075.62
y11-3-B6	66.8	16339312.60	4216259.50	3135.49
y7-1-B6	56.9	16339550.10	4215783.50	3129.52
yshi2-4	15.5	16340012.77	4215203.77	3083.03
y7-1-B5	11.4	16339547.10	4215778.30	3129.52
yshi2-1	46.6	16340030.50	4215206.90	3083.03
y11-2-B4	32.0	16339152.50	4216069.90	3113.20
yshi2-3	60.7	16340018.68	4215204.81	3083.03
yshi2-2	61.4	16340024.59	4215205.86	3083.03
y27-1	68.0	16338120.30	4217356.80	3136.26
