880330	化纤
880494	互联网
880452	电信运营
880430	航空
880399	家居用品
880390	汽车类
880344	建材
880310	石油
880431	船舶
880355	日用化工
880465	交通设施
880418	传媒娱乐
880473	保险
880489	电脑设备
880453	公共交通
880398	医疗保健
880497	综合类
880424	旅游
880456	环境保护
880432	运输设备
880387	家用电器
880318	钢铁
880459	运输服务
880455	供气供热
880406	商业连锁
880437	通用机械
880440	工业机械
880446	电气设备
880400	医药
880351	矿物制品
880335	化工
880367	纺织服饰
880350	造纸
880471	银行
880305	电力
880493	软件服务
880372	食品饮料
880482	房地产
880421	广告包装
880360	农林牧渔
880472	证券
880492	元器件
880491	半导体
880454	水务
880324	有色
880448	电器仪表
880490	通信设备
880476	建筑
880464	仓储物流
880422	文教休闲
880380	酿酒
880474	多元金融
880301	煤炭
880447	工程机械
880423	酒店餐饮
880414	商贸代理
