000037	*ST南电A	--  	12.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.49	--  	0	  0.00	火力发电	深圳	0.00	12.49	0	0	--  	0	
000403	ST生化	-1.16	29.90	-0.35	29.89	29.90	21711	422	0.03	          1.16	30.23	30.31	29.80	30.25	   115.29	64987092	  0.64	生物制药	山西	1.69	29.93	13994	7716	  1.81	69	
000408	*ST金源	-0.90	16.56	-0.15	16.56	16.57	29253	467	-0.06	          1.16	16.71	16.71	16.46	16.71	  3577.15	48471348	  0.68	商贸代理	河北	1.50	16.57	16262	12990	  1.25	146	
000504	*ST生物	--  	14.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.96	--  	0	  0.00	出版业	湖南	0.00	14.96	0	0	--  	0	
000505	*ST珠江	--  	9.84	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.84	--  	0	  0.00	房产服务	海南	0.00	9.84	0	0	--  	0	
000511	*ST烯碳	--  	8.92	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.92	  3816.35	0	  0.00	矿物制品	辽宁	0.00	8.92	0	0	--  	0	
000606	*ST易桥	0.99	10.16	0.10	10.15	10.16	76512	608	0.00	          1.63	10.11	10.22	10.03	10.06	--  	77513888	  0.97	化学制药	青海	1.89	10.13	34301	42210	  0.81	216	
000611	*ST蒙发	0.49	8.26	0.04	8.23	8.26	39085	1618	0.48	          1.22	8.19	8.26	8.15	8.22	--  	32103532	  0.98	纺织	内蒙	1.34	8.21	21255	17829	  1.19	226	
000617	*ST济柴	--  	12.91	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.91	--  	0	  0.00	机械基件	山东	0.00	12.91	0	0	--  	0	
000622	*ST恒立	-1.49	7.92	-0.12	7.91	7.92	39850	188	0.12	          0.94	7.99	8.07	7.86	8.04	--  	31690808	  0.87	汽车配件	湖南	2.61	7.95	25785	14065	  1.83	182	
000629	*ST钒钛	--  	2.39	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.39	   128.74	0	  0.00	普钢	四川	0.00	2.39	0	0	--  	0	
000633	*ST合金	--  	10.32	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.32	--  	0	  0.00	综合类	辽宁	0.00	10.32	0	0	--  	0	
000670	*ST盈方	0.93	8.68	0.08	8.67	8.68	141975	2390	0.00	          2.54	8.60	8.73	8.56	8.60	    99.74	122988864	  0.76	元器件	湖北	1.98	8.66	69311	72663	  0.95	2117	
000691	ST亚太	-0.86	8.04	-0.07	8.04	8.05	38966	183	-0.12	          1.34	8.07	8.10	8.00	8.11	--  	31348988	  1.08	区域地产	海南	1.23	8.05	25533	13433	  1.90	8	
000693	ST华泽	--  	12.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.50	--  	0	  0.00	小金属	四川	0.00	12.50	0	0	--  	0	
000717	*ST韶钢	-0.67	2.97	-0.02	2.97	2.98	157616	10511	-0.66	          0.94	3.00	3.00	2.97	2.99	--  	46957004	  0.66	钢加工	广东	1.00	2.98	88120	69496	  1.27	15111	
000831	*ST五稀	-0.36	13.90	-0.05	13.90	13.91	148641	1742	0.00	          1.52	13.84	14.05	13.76	13.95	--  	206554656	  0.69	小金属	山西	2.08	13.90	82005	66636	  1.23	503	
000856	*ST冀装	0.76	11.98	0.09	11.94	11.98	10633	106	0.25	          0.47	11.89	12.05	11.89	11.89	--  	12719065	  0.64	机械基件	河北	1.35	11.96	5486	5146	  1.07	48	
000913	*ST钱江	1.44	13.40	0.19	13.39	13.40	69453	619	-0.07	          1.53	13.12	13.64	13.03	13.21	    34.98	92877072	  0.73	摩托车	浙江	4.62	13.37	31005	38448	  0.81	121	
000933	*ST神火	-0.60	4.96	-0.03	4.96	4.97	182626	4296	0.20	          0.97	4.98	5.04	4.91	4.99	     5.61	90531784	  0.44	煤炭开采	河南	2.61	4.96	110132	72493	  1.52	6077	
000950	*ST建峰	--  	7.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.45	--  	0	  0.00	农药化肥	重庆	0.00	7.45	0	0	--  	0	
000962	*ST东钽	--  	9.32	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.32	--  	0	  0.00	小金属	宁夏	0.00	9.32	0	0	--  	0	
000968	*ST煤气	-4.84	7.87	-0.40	7.87	7.88	189972	19774	0.12	          3.70	7.93	8.11	7.86	8.27	--  	150162336	  1.47	煤炭开采	山西	3.02	7.90	78488	111483	  0.70	6540	
000995	*ST皇台	0.33	12.33	0.04	12.33	12.34	51634	524	0.00	          2.91	12.27	12.42	12.17	12.29	--  	63596784	  0.74	白酒	甘肃	2.03	12.32	24807	26827	  0.92	453	
002061	*ST江化	0.00	7.07	0.00	7.07	7.08	57210	891	0.14	          1.26	7.06	7.12	6.99	7.07	--  	40348144	  0.60	化工原料	浙江	1.84	7.05	27971	29239	  0.96	1548	
002069	*ST獐岛	4.84	9.53	0.44	9.53	9.54	166641	2385	0.00	          2.45	9.02	9.54	9.02	9.09	--  	155674176	  1.50	渔业	辽宁	5.72	9.34	96639	70001	  1.38	196	
002109	*ST兴化	1.33	6.85	0.09	6.85	6.86	51186	211	-0.14	          1.43	6.74	6.91	6.70	6.76	--  	34787800	  1.27	化工原料	陕西	3.11	6.80	21979	29207	  0.75	293	
002173	*ST创疗	-2.01	20.48	-0.42	20.43	20.48	16777	160	-0.04	          1.20	20.76	20.97	20.39	20.90	    80.68	34441060	  1.04	农业综合	浙江	2.78	20.53	11227	5550	  2.02	146	
002199	*ST东晶	--  	17.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.93	--  	0	  0.00	元器件	浙江	0.00	17.93	0	0	--  	0	
002289	*ST宇顺	--  	26.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.04	--  	0	  0.00	元器件	深圳	0.00	26.04	0	0	--  	0	
002336	*ST人乐	3.64	10.83	0.38	10.82	10.83	70300	239	-0.18	          1.76	10.43	10.97	10.40	10.45	    52.28	75928144	  2.59	超市连锁	深圳	5.45	10.80	26689	43610	  0.61	244	
002379	*ST鲁丰	--  	3.83	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	3.83	--  	0	  0.00	铝	山东	0.00	3.83	0	0	--  	0	
002423	*ST中特	0.20	9.93	0.02	9.93	9.94	50269	438	0.10	          1.08	9.86	10.07	9.86	9.91	--  	50181896	  0.50	特种钢	河南	2.12	9.98	24914	25354	  0.98	471	
002513	*ST蓝丰	-0.40	14.81	-0.06	14.80	14.81	17068	197	0.06	          0.80	14.80	14.82	14.63	14.87	    39.57	25147752	  0.80	农药化肥	江苏	1.28	14.73	9093	7975	  1.14	51	
002608	*ST舜船	--  	8.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.75	--  	0	  0.00	船舶	江苏	0.00	8.75	0	0	--  	0	
200037	*ST南电B	--  	5.32	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.32	--  	0	  0.00			0.00	5.32	0	0	--  	0	
200468	*ST宁通B	-0.37	8.16	-0.03	8.09	8.16	433	12	0.74	          0.04	8.10	8.18	8.08	8.19	--  	351686	  0.60			1.22	8.12	338	95	  3.56	10	
200505	*ST珠江B	--  	5.83	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.83	--  	0	  0.00			0.00	5.83	0	0	--  	0	
200706	*ST瓦轴B	-1.17	5.08	-0.06	5.06	5.08	1099	1	0.59	          0.07	5.14	5.14	5.00	5.14	   172.38	552169	  0.65			2.72	5.02	263	836	  0.31	10	
000033	*ST新都	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	--  	--  	--  	  0.00	酒店餐饮	深圳	--  	0.00	0	0	--  	0	
000155	*ST川化	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	--  	--  	--  	  0.00	农药化肥	四川	--  	0.00	0	0	--  	0	
600091	ST明科	0.00	11.23	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.23	--  	0	  0.00	化工原料	内蒙	0.00	11.23	0	0	--  	0	
600145	*ST新亿	0.00	1.87	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	1.87	--  	0	  0.00	陶瓷	新疆	0.00	1.87	0	0	--  	0	
600179	*ST黑化	4.97	12.88	0.61	12.88	--  	48247	5	0.00	          1.24	12.55	12.88	12.50	12.27	--  	61959344	  1.48	焦炭加工	黑龙江	3.10	12.84	19776	28471	  0.69	18612	
600212	*ST江泉	0.00	9.96	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	9.96	    95.61	0	  0.00	综合类	山东	0.00	9.96	0	0	--  	0	
600230	*ST沧大	0.09	10.99	0.01	10.98	10.99	29226	20	0.00	          0.99	10.91	11.09	10.82	10.98	--  	32070296	  0.57	农药化肥	河北	2.46	10.97	16805	12420	  1.35	29	
600234	*ST山水	-0.64	13.88	-0.09	13.89	13.91	22335	60	-0.14	          1.10	13.94	14.05	13.77	13.97	--  	31064144	  0.60	文教休闲	山西	2.00	13.91	12564	9770	  1.29	5	
600247	ST成城	0.68	11.76	0.08	11.74	11.75	42399	30	-0.08	          1.26	11.69	11.98	11.60	11.68	--  	49898568	  0.71	商贸代理	吉林	3.25	11.77	19808	22590	  0.88	708	
