wellName	topDepth	bottomDepth	sandThickness	effThickness pore	per	so			
LFLN17-1	1030.6	1031.3	8.7	8.7	0.3	300	0.66
LFLN17-1	1037.6	1040.9	3.3	3.3	0.3	300	0.66
LFLN17-5	1019.9	1028.2	8.3	8.3	0.3	300	0.66
LFLN17-5	1028.2	1038	9.8	9.8	0.3	300	0.66
LFLN17-13	1022.3	1029.6	7.3	7.3	0.3	300	0.66
LFLN17-13	1029.6	1044.4	14.8	14.8	0.3	300	0.66
LFLN17-23	1020.3	1030.2	9.9	9.9	0.3	300	0.66
LFLN17-23	1030.2	1047.7	17.5	17.5	0.3	300	0.66
LFLN17-25	1023.1	1032.5	9.4	9.4	0.3	300	0.66
LFLN17-25	1032.5	1040.4	7.9	7.9	0.3	300	0.66
LFLN17-37	1025.6	1031.3	5.7	5.7	0.3	300	0.66
LFLN17-37	1039.6	1040.9	1.3	1.3	0.3	300	0.66
LFLN17-33	1026.3	1028.4	2.1	2.1	0.3	300	0.66
LFLN17-33	1028.4	1035.8	7.4	7.4	0.3	300	0.66
LFLN17-19	1040.6	1043.3	2.7	2.7	0.3	300	0.66
LFLN17-3	1021.3	1029.6	8.3	8.3	0.3	300	0.66
LFLN17-3	1029.6	1040.4	10.8	10.8	0.3	300	0.66
LFLN17-15	1021.5	1026.6	5.1	5.1	0.3	300	0.66
LFLN17-15	1026.6	1038	11.4	11.4	0.3	300	0.66
LFLN17-17	1034.9	1036.4	1.5	1.5	0.3	300	0.66
LFLN17-17	1038.3	1040.3	2	2	0.3	300	0.66
LFLN17-21	1022.3	1027.8	5.5	5.5	0.3	300	0.66
LFLN17-21	1027.8	1038	10.2	10.2	0.3	300	0.66
LFLN17-45	1030.3	1032.4	2.1	2.1	0.3	300	0.66
LFLN17-9	1028	1029.2	1.2	1.2	0.3	300	0.66
LFLN17-9	1030	1032.2	2.2	2.2	0.3	300	0.66
LFLN17-9	1033.8	1037.6	3.8	3.8	0.3	300	0.66
